corpus_position,source_row_abs,EID_o_identificador,insumo_row,record_chars
1351,1351,2-s2.0-0037217198,1351,1796
1366,1366,2-s2.0-85139622321,1366,733
1368,1368,2-s2.0-85139354329,1368,2078
1382,1382,2-s2.0-85138928907,1382,1062
1388,1388,2-s2.0-85066206074,1388,906
1393,1393,2-s2.0-85064450000,1393,788
1413,1413,2-s2.0-84992813033,1413,1209
1420,1420,2-s2.0-84949817602,1420,757
1424,1424,2-s2.0-84946084266,1424,2148
1428,1428,2-s2.0-84946060742,1428,1653
1437,1437,2-s2.0-84946019447,1437,1271
1451,1451,2-s2.0-84925630727,1451,1830
1453,1453,2-s2.0-84909374473,1453,2054
1467,1467,2-s2.0-84867385382,1467,1125
1473,1473,2-s2.0-79960301063,1473,1121
1486,1486,2-s2.0-7444242805,1486,1093
1489,1489,2-s2.0-6344265691,1489,670
1499,1499,2-s2.0-3843139463,1499,770
1503,1503,2-s2.0-3843056907,1503,1119
1510,1510,2-s2.0-34848812742,1510,998
1519,1519,2-s2.0-3042667512,1519,357
1545,1545,2-s2.0-13644276179,1545,1512
1549,1549,2-s2.0-105007130960,1549,813
1562,1562,2-s2.0-0242424320,1562,1653
1571,1571,2-s2.0-0142061656,1571,1852
1573,1573,2-s2.0-0141884150,1573,1081
1574,1574,2-s2.0-0141871925,1574,1828
1589,1589,2-s2.0-0041743780,1589,1260
1598,1598,2-s2.0-0038583857,1598,1394
1605,1605,2-s2.0-0037986463,1605,1205
1625,1625,2-s2.0-0037270087,1625,1734
1634,1634,2-s2.0-84958909492,1634,754
1636,1636,2-s2.0-10044272953,1636,2289
1642,1642,2-s2.0-84901145864,1642,3852
1660,1660,2-s2.0-35048896502,1660,1179
1665,1665,2-s2.0-35048824870,1665,1008
1671,1671,2-s2.0-33749236991,1671,1025
1684,1684,2-s2.0-21644474987,1684,1732
1685,1685,2-s2.0-21644472842,1685,1798
1696,1696,2-s2.0-21644434003,1696,1795
1707,1707,2-s2.0-14544297410,1707,1411
1762,1762,2-s2.0-5444254567,1762,1175
1788,1788,2-s2.0-5444232064,1788,2052
1811,1811,2-s2.0-4544286795,1811,1112
1815,1815,2-s2.0-4544299299,1815,1121
1827,1827,2-s2.0-5444232049,1827,919
1832,1832,2-s2.0-34247661803,1832,1011
1835,1835,2-s2.0-33644544721,1835,1390
1836,1836,2-s2.0-33644524703,1836,296
1840,1840,2-s2.0-3543028671,1840,1270
1851,1851,2-s2.0-4243096137,1851,1204
1859,1859,2-s2.0-3042544515,1859,1287
1863,1863,2-s2.0-3042786536,1863,2948
1874,1874,2-s2.0-3543132358,1874,2134
1884,1884,2-s2.0-3442898299,1884,2331
1885,1885,2-s2.0-34247265791,1885,879
1894,1894,2-s2.0-1842810292,1894,1390
1899,1899,2-s2.0-85167520451,1899,922
1934,1934,2-s2.0-10744224323,1934,1074
1941,1941,2-s2.0-1442358607,1941,259
1956,1956,2-s2.0-85183258933,1956,1579
1984,1984,2-s2.0-85014703440,1984,1245
1986,1986,2-s2.0-85011525770,1986,1511
2004,2004,2-s2.0-84923549389,2004,1846
2010,2010,2-s2.0-84872064225,2010,1277
2013,2013,2-s2.0-84865221067,2013,1441
2033,2033,2-s2.0-54049110547,2033,1197
2059,2059,2-s2.0-35048839031,2059,1446
2067,2067,2-s2.0-33646140212,2067,1324
2111,2111,2-s2.0-16544395273,2111,1625
2112,2112,2-s2.0-1642414978,2112,1201
2129,2129,2-s2.0-11844270475,2129,1283
2131,2131,2-s2.0-1142263247,2131,1582
2145,2145,2-s2.0-0742305991,2145,1241
2148,2148,2-s2.0-0742288694,2148,1078
2149,2149,2-s2.0-0742288693,2149,1166
2153,2153,2-s2.0-29544440548,2153,697
2167,2167,2-s2.0-84892231397,2167,3190
2210,2210,2-s2.0-84856974016,2210,1078
2211,2211,2-s2.0-80053471248,2211,1725
2221,2221,2-s2.0-57849164400,2221,4635
2259,2259,2-s2.0-33747048084,2259,816
2261,2261,2-s2.0-33745947856,2261,1371
2266,2266,2-s2.0-33645924687,2266,1756
2290,2290,2-s2.0-27844597841,2290,1367
2299,2299,2-s2.0-33644860866,2299,2162
2300,2300,2-s2.0-30844439888,2300,1548
2304,2304,2-s2.0-28144461554,2304,825
2306,2306,2-s2.0-27844608983,2306,1440
2308,2308,2-s2.0-27744485863,2308,802
2310,2310,2-s2.0-27744436542,2310,2741
2351,2351,2-s2.0-28044465951,2351,1368
2362,2362,2-s2.0-24344442797,2362,2515
2369,2369,2-s2.0-23244445492,2369,1053
2383,2383,2-s2.0-23844471264,2383,1361
2386,2386,2-s2.0-22544476568,2386,1796
2396,2396,2-s2.0-33745220992,2396,1619
2405,2405,2-s2.0-24044440786,2405,1087
2419,2419,2-s2.0-22444434722,2419,341
2445,2445,2-s2.0-84905519647,2445,2106
2467,2467,2-s2.0-60849111620,2467,1136
2478,2478,2-s2.0-17444410847,2478,2524
2494,2494,2-s2.0-27844470704,2494,1506
2510,2510,2-s2.0-16244363080,2510,1659
2514,2514,2-s2.0-14844293607,2514,1589
2550,2550,2-s2.0-85071556670,2550,1855
2562,2562,2-s2.0-85069611005,2562,1149
2602,2602,2-s2.0-84958173080,2602,1109
2624,2624,2-s2.0-84927087465,2624,1868
2627,2627,2-s2.0-84926955550,2627,2122
2649,2649,2-s2.0-84896929539,2649,1722
2679,2679,2-s2.0-33750388967,2679,1833
2689,2689,2-s2.0-33745369337,2689,1767
2709,2709,2-s2.0-27844543189,2709,3955
2719,2719,2-s2.0-27144511212,2719,3104
2726,2726,2-s2.0-25144441055,2726,1254
2733,2733,2-s2.0-23944459296,2733,1115
2737,2737,2-s2.0-22544487512,2737,1092
2760,2760,2-s2.0-22544473640,2760,1036
2769,2769,2-s2.0-22544467789,2769,1130
2794,2794,2-s2.0-22544445573,2794,1177
2804,2804,2-s2.0-22544436990,2804,1085
2808,2808,2-s2.0-22344448277,2808,1839
2821,2821,2-s2.0-19944373080,2821,1051
2849,2849,2-s2.0-13844256569,2849,1520
2854,2854,2-s2.0-12744262896,2854,2931
2877,2877,2-s2.0-84890006331,2877,9113
2907,2907,2-s2.0-76849099084,2907,1643
2909,2909,2-s2.0-70450228454,2909,1158
2926,2926,2-s2.0-48749109505,2926,1204
2933,2933,2-s2.0-46949087725,2933,1537
2956,2956,2-s2.0-34547235508,2956,1123
2963,2963,2-s2.0-34247195036,2963,2940
2970,2970,2-s2.0-33847205393,2970,1081
2974,2974,2-s2.0-33846538464,2974,1492
3000,3000,2-s2.0-33750512132,3000,1769
3014,3014,2-s2.0-33750180064,3014,651
3021,3021,2-s2.0-33750085007,3021,1775
3051,3051,2-s2.0-33749596984,3051,766
3064,3064,2-s2.0-33748913193,3064,977
3103,3103,2-s2.0-33747808672,3103,1292
3104,3104,2-s2.0-33747788448,3104,1749
3110,3110,2-s2.0-33746060149,3110,2240
3116,3116,2-s2.0-33748466511,3116,1528
3142,3142,2-s2.0-33745610048,3142,1964
3148,3148,2-s2.0-33744781840,3148,1212
3149,3149,2-s2.0-33744761762,3149,1333
3176,3176,2-s2.0-33646257558,3176,2066
3178,3178,2-s2.0-31144437060,3178,2546
3187,3187,2-s2.0-33646487505,3187,1219
3206,3206,2-s2.0-31144458969,3206,1154
3213,3213,2-s2.0-32444444339,3213,425
3241,3241,2-s2.0-85140669884,3241,1313
3248,3248,2-s2.0-85101232057,3248,1236
3253,3253,2-s2.0-85067990706,3253,430
3256,3256,2-s2.0-85067948954,3256,967
3258,3258,2-s2.0-85067915765,3258,421
3262,3262,2-s2.0-85045649603,3262,1446
3275,3275,2-s2.0-85029119311,3275,2342
3283,3283,2-s2.0-85029109544,3283,3384
3297,3297,2-s2.0-85029079596,3297,1918
3308,3308,2-s2.0-85029065165,3308,1314
3322,3322,2-s2.0-85029034677,3322,2601
3328,3328,2-s2.0-85029025666,3328,3704
3331,3331,2-s2.0-85029021102,3331,2260
3341,3341,2-s2.0-85011514499,3341,1686
3342,3342,2-s2.0-85011452128,3342,386
3373,3373,2-s2.0-84926262407,3373,1847
3388,3388,2-s2.0-84926247758,3388,1936
3391,3391,2-s2.0-84926245385,3391,1906
3414,3414,2-s2.0-84896964591,3414,2349
3433,3433,2-s2.0-84867419740,3433,804
3440,3440,2-s2.0-84860029044,3440,1618
3446,3446,2-s2.0-77958604553,3446,1295
3449,3449,2-s2.0-77049115493,3449,1266
3450,3450,2-s2.0-75349110670,3450,284
3453,3453,2-s2.0-68949174714,3453,1453
3454,3454,2-s2.0-61949441746,3454,1342
3466,3466,2-s2.0-48749098321,3466,2193
3479,3479,2-s2.0-39049178189,3479,1506
3482,3482,2-s2.0-37749032655,3482,1834
3489,3489,2-s2.0-34548761366,3489,2673
3493,3493,2-s2.0-33847743837,3493,342
3505,3505,2-s2.0-33846150397,3505,1214
3513,3513,2-s2.0-33845532661,3513,1312
3539,3539,2-s2.0-33749395814,3539,1031
3548,3548,2-s2.0-33746654480,3548,1624
3562,3562,2-s2.0-33745627041,3562,1761
3569,3569,2-s2.0-33646746626,3569,1044
3573,3573,2-s2.0-33646507516,3573,985
3584,3584,2-s2.0-33645297660,3584,1044
3606,3606,2-s2.0-29944438491,3606,1359
3608,3608,2-s2.0-29744469415,3608,3174
3611,3611,2-s2.0-27744498538,3611,1025
3629,3629,2-s2.0-84900044921,3629,1445
3633,3633,2-s2.0-84892828617,3633,1409
3636,3636,2-s2.0-84892817459,3636,961
3654,3654,2-s2.0-84887268258,3654,1256
3680,3680,2-s2.0-84867445966,3680,985
3681,3681,2-s2.0-84867442319,3681,887
3683,3683,2-s2.0-84867394792,3683,1705
3688,3688,2-s2.0-84860722144,3688,1200
3692,3692,2-s2.0-84858656410,3692,1741
3703,3703,2-s2.0-78651492559,3703,1214
3711,3711,2-s2.0-77955842430,3711,2088
3712,3712,2-s2.0-77954614007,3712,1764
3723,3723,2-s2.0-71449096894,3723,1252
3746,3746,2-s2.0-56349104631,3746,1280
3762,3762,2-s2.0-50449089134,3762,1177
3763,3763,2-s2.0-50449085853,3763,1888
3778,3778,2-s2.0-50049104211,3778,1714
3811,3811,2-s2.0-46749100933,3811,1899
3813,3813,2-s2.0-46449122257,3813,1920
3826,3826,2-s2.0-39149130699,3826,2742
3830,3830,2-s2.0-38349004712,3830,1200
3837,3837,2-s2.0-37849026188,3837,1634
3838,3838,2-s2.0-37849013631,3838,1438
3861,3861,2-s2.0-36248939615,3861,2003
3869,3869,2-s2.0-35348950678,3869,302
3875,3875,2-s2.0-84917284889,3875,1248
3887,3887,2-s2.0-36448995828,3887,1718
3916,3916,2-s2.0-34848921244,3916,1084
3921,3921,2-s2.0-34548832770,3921,1522
3957,3957,2-s2.0-34547651022,3957,635
3961,3961,2-s2.0-34047178827,3961,1802
3969,3969,2-s2.0-34547681852,3969,1344
3977,3977,2-s2.0-49449100924,3977,3139
3984,3984,2-s2.0-34548335110,3984,1455
3996,3996,2-s2.0-34347225539,3996,1665
3998,3998,2-s2.0-34547587272,3998,612
3999,3999,2-s2.0-34447135028,3999,2059
4000,4000,2-s2.0-34447318849,4000,340
4006,4006,2-s2.0-34547367341,4006,1050
4019,4019,2-s2.0-33947712972,4019,994
4037,4037,2-s2.0-34249901574,4037,402
4052,4052,2-s2.0-34247555467,4052,1011
4076,4076,2-s2.0-75249102799,4076,2452
4081,4081,2-s2.0-34250356764,4081,1127
4098,4098,2-s2.0-33845477232,4098,1674
4111,4111,2-s2.0-34249084724,4111,1245
4116,4116,2-s2.0-34247231476,4116,958
4135,4135,2-s2.0-33846584525,4135,2296
4155,4155,2-s2.0-33751580864,4155,1385
4156,4156,2-s2.0-33751431551,4156,1693
4161,4161,2-s2.0-85144937978,4161,1203
4182,4182,2-s2.0-85055708578,4182,941
4199,4199,2-s2.0-85029105990,4199,3071
4211,4211,2-s2.0-85029091383,4211,1999
4230,4230,2-s2.0-85029074568,4230,3878
4260,4260,2-s2.0-85029046000,4260,1634
4263,4263,2-s2.0-85029039418,4263,1829
4264,4264,2-s2.0-85029037185,4264,2350
4268,4268,2-s2.0-85029033736,4268,2919
4290,4290,2-s2.0-85001720256,4290,1439
4319,4319,2-s2.0-84958040847,4319,1037
4325,4325,2-s2.0-84938688183,4325,1630
4330,4330,2-s2.0-84927002399,4330,1538
4341,4341,2-s2.0-84909367892,4341,2849
4352,4352,2-s2.0-84896920036,4352,1749
4353,4353,2-s2.0-84896284185,4353,2632
4361,4361,2-s2.0-84885649212,4361,572
4365,4365,2-s2.0-84872150981,4365,675
4370,4370,2-s2.0-84858310586,4370,1354
4379,4379,2-s2.0-79955896800,4379,824
4394,4394,2-s2.0-70350713479,4394,895
4408,4408,2-s2.0-51149103527,4408,1640
4411,4411,2-s2.0-47549084895,4411,1785
4413,4413,2-s2.0-44249092810,4413,1703
4435,4435,2-s2.0-35649007463,4435,3093
4436,4436,2-s2.0-35648946459,4436,3610
4442,4442,2-s2.0-34948822360,4442,1232
4446,4446,2-s2.0-34748902914,4446,1653
4459,4459,2-s2.0-34547525359,4459,1097
4461,4461,2-s2.0-34547464630,4461,1030
4469,4469,2-s2.0-34250344917,4469,669
4488,4488,2-s2.0-34247625118,4488,1591
4507,4507,2-s2.0-33846583001,4507,1087
4515,4515,2-s2.0-33751520039,4515,1217
4525,4525,2-s2.0-57749097040,4525,2172
4539,4539,2-s2.0-57349084135,4539,1091
4541,4541,2-s2.0-57049147018,4541,1240
4543,4543,2-s2.0-57049089568,4543,984
4544,4544,2-s2.0-84871620786,4544,2422
4548,4548,2-s2.0-85065190180,4548,392
4560,4560,2-s2.0-84895258062,4560,2063
4575,4575,2-s2.0-84889971274,4575,1117
4589,4589,2-s2.0-84878139281,4589,1363
4596,4596,2-s2.0-84872105506,4596,2143
4607,4607,2-s2.0-84867375767,4607,1280
4614,4614,2-s2.0-84863792300,4614,1243
4618,4618,2-s2.0-84859265027,4618,1150
4625,4625,2-s2.0-79961221211,4625,275
4627,4627,2-s2.0-79960805893,4627,272
4638,4638,2-s2.0-78650759786,4638,1044
4651,4651,2-s2.0-77958120702,4651,723
4653,4653,2-s2.0-77957706889,4653,1305
4667,4667,2-s2.0-77950311171,4667,1501
4683,4683,2-s2.0-70349091348,4683,1075
4691,4691,2-s2.0-67649220486,4691,971
4694,4694,2-s2.0-67549083112,4694,1191
4696,4696,2-s2.0-66949157515,4696,1729
4707,4707,2-s2.0-62649161003,4707,1314
4712,4712,2-s2.0-62549153607,4712,1545
4715,4715,2-s2.0-62249172198,4715,2403
4718,4718,2-s2.0-60649086930,4718,1773
4753,4753,2-s2.0-57049085663,4753,1135
4783,4783,2-s2.0-55349099187,4783,1791
4793,4793,2-s2.0-61449288443,4793,1298
4814,4814,2-s2.0-54249155225,4814,1399
4834,4834,2-s2.0-54249158870,4834,1066
4837,4837,2-s2.0-52649085432,4837,1709
4842,4842,2-s2.0-51249094917,4842,1293
4856,4856,2-s2.0-51849102872,4856,1668
4861,4861,2-s2.0-51749107031,4861,678
4870,4870,2-s2.0-81155141340,4870,1337
4884,4884,2-s2.0-52249110673,4884,1086
4891,4891,2-s2.0-50849140172,4891,1461
4895,4895,2-s2.0-50249127277,4895,1716
4903,4903,2-s2.0-49349110499,4903,2536
4905,4905,2-s2.0-48649098815,4905,2020
4921,4921,2-s2.0-50149099057,4921,332
4930,4930,2-s2.0-53349099939,4930,1517
4932,4932,2-s2.0-51349103570,4932,2306
4938,4938,2-s2.0-46549090117,4938,1598
4943,4943,2-s2.0-45649083567,4943,2600
4960,4960,2-s2.0-51749125055,4960,1185
4973,4973,2-s2.0-45949094327,4973,941
4976,4976,2-s2.0-44349188064,4976,1439
4986,4986,2-s2.0-84995742383,4986,1587
5003,5003,2-s2.0-45849086905,5003,1321
5018,5018,2-s2.0-43849094671,5018,803
5029,5029,2-s2.0-46449104662,5029,308
5043,5043,2-s2.0-42549087319,5043,1224
5051,5051,2-s2.0-85009240239,5051,2534
5052,5052,2-s2.0-42149151106,5052,1576
5053,5053,2-s2.0-51749089317,5053,1963
5067,5067,2-s2.0-41149161217,5067,1541
5072,5072,2-s2.0-41149083880,5072,246
5080,5080,2-s2.0-44649194477,5080,1311
5087,5087,2-s2.0-42649125325,5087,1742
5088,5088,2-s2.0-41949140388,5088,2180
5095,5095,2-s2.0-39049119672,5095,557
5102,5102,2-s2.0-36749021236,5102,1442
5114,5114,2-s2.0-42949147042,5114,500
5132,5132,2-s2.0-38049164057,5132,1772
5135,5135,2-s2.0-38049128946,5135,1289
5154,5154,2-s2.0-85147052416,5154,1146
5155,5155,2-s2.0-85145514938,5155,1463
5156,5156,2-s2.0-85144937791,5156,3285
5158,5158,2-s2.0-85116469995,5158,1898
5171,5171,2-s2.0-85029131925,5171,1891
5182,5182,2-s2.0-85029119519,5182,1108
5194,5194,2-s2.0-85029107942,5194,2145
5197,5197,2-s2.0-85029106261,5197,1902
5201,5201,2-s2.0-85029102451,5201,1891
5212,5212,2-s2.0-85029090501,5212,1687
5213,5213,2-s2.0-85029090229,5213,4708
5223,5223,2-s2.0-85029081777,5223,1403
5224,5224,2-s2.0-85029079474,5224,1117
5230,5230,2-s2.0-85029075127,5230,1407
5233,5233,2-s2.0-85029071947,5233,2645
5235,5235,2-s2.0-85029070118,5235,3281
5241,5241,2-s2.0-85029066500,5241,3059
5248,5248,2-s2.0-85029056542,5248,1914
5283,5283,2-s2.0-85029022159,5283,2857
5301,5301,2-s2.0-84990321142,5301,1380
5305,5305,2-s2.0-84967529526,5305,1499
5312,5312,2-s2.0-84938794879,5312,815
5317,5317,2-s2.0-84928931408,5317,1910
5321,5321,2-s2.0-84923917668,5321,1501
5325,5325,2-s2.0-84904255738,5325,241
5344,5344,2-s2.0-84891977819,5344,1246
5374,5374,2-s2.0-78650775003,5374,1405
5379,5379,2-s2.0-78049432646,5379,1345
5398,5398,2-s2.0-68949161996,5398,1879
5405,5405,2-s2.0-67349269388,5405,1222
5426,5426,2-s2.0-60249083166,5426,1256
5433,5433,2-s2.0-58049193770,5433,1658
5435,5435,2-s2.0-57249084597,5435,1350
5455,5455,2-s2.0-53649092942,5455,1495
5467,5467,2-s2.0-49749083018,5467,1451
5475,5475,2-s2.0-47949124403,5475,976
5484,5484,2-s2.0-46449125322,5484,1359
5485,5485,2-s2.0-45849149661,5485,2796
5489,5489,2-s2.0-44449127530,5489,2625
5495,5495,2-s2.0-43849098586,5495,1306
5505,5505,2-s2.0-41849114549,5505,1160
5527,5527,2-s2.0-37449015804,5527,2532
5560,5560,2-s2.0-85164582406,5560,1453
5566,5566,2-s2.0-84898262394,5566,1362
5570,5570,2-s2.0-84895192522,5570,1244
5593,5593,2-s2.0-84889991255,5593,2979
5596,5596,2-s2.0-84889961031,5596,4362
5612,5612,2-s2.0-84867373224,5612,1687
5623,5623,2-s2.0-84866938824,5623,784
5651,5651,2-s2.0-78049393236,5651,3327
5653,5653,2-s2.0-77956209390,5653,1242
5657,5657,2-s2.0-77955647931,5657,1233
5665,5665,2-s2.0-77955242841,5665,1666
5669,5669,2-s2.0-77954582677,5669,1713
5674,5674,2-s2.0-77953633489,5674,1690
5686,5686,2-s2.0-77952104723,5686,2278
5689,5689,2-s2.0-77951877573,5689,1056
5690,5690,2-s2.0-77951716021,5690,1388
5701,5701,2-s2.0-77951461969,5701,1933
5710,5710,2-s2.0-77951435057,5710,2305
5712,5712,2-s2.0-77951432417,5712,1519
5718,5718,2-s2.0-77950989880,5718,2394
5729,5729,2-s2.0-77949735753,5729,1110
5744,5744,2-s2.0-76249131097,5744,1355
5748,5748,2-s2.0-75749087216,5748,867
5773,5773,2-s2.0-70450225418,5773,1172
5782,5782,2-s2.0-79952873457,5782,1797
5788,5788,2-s2.0-69949125999,5788,1689
5802,5802,2-s2.0-70350518106,5802,1836
5806,5806,2-s2.0-70350490060,5806,1007
5811,5811,2-s2.0-85068499308,5811,1122
5814,5814,2-s2.0-78149363572,5814,1640
5841,5841,2-s2.0-70349999446,5841,750
5853,5853,2-s2.0-85136094416,5853,253
5861,5861,2-s2.0-73849120329,5861,1836
5877,5877,2-s2.0-70349222754,5877,1154
5883,5883,2-s2.0-69949155174,5883,1383
5890,5890,2-s2.0-69749110332,5890,1062
5908,5908,2-s2.0-77950171870,5908,1352
5928,5928,2-s2.0-70349459672,5928,468
5930,5930,2-s2.0-70349190759,5930,1517
5950,5950,2-s2.0-69149099008,5950,1514
5963,5963,2-s2.0-68149131615,5963,1906
5970,5970,2-s2.0-78651544938,5970,1535
5980,5980,2-s2.0-67349267678,5980,1204
5983,5983,2-s2.0-64449087500,5983,1829
5985,5985,2-s2.0-64449083603,5985,1833
5993,5993,2-s2.0-84917095856,5993,1768
6023,6023,2-s2.0-67649641406,6023,2595
6026,6026,2-s2.0-67349224419,6026,1779
6042,6042,2-s2.0-67649277210,6042,1129
6045,6045,2-s2.0-67649273858,6045,1212
6047,6047,2-s2.0-67649273838,6047,756
6048,6048,2-s2.0-67649273800,6048,1119
6072,6072,2-s2.0-77955159134,6072,2105
6074,6074,2-s2.0-77149140134,6074,1359
6091,6091,2-s2.0-67649687876,6091,1968
6096,6096,2-s2.0-67349283364,6096,2030
6104,6104,2-s2.0-67349110216,6104,1145
6115,6115,2-s2.0-65749085498,6115,446
6176,6176,2-s2.0-85043469953,6176,1061
6181,6181,2-s2.0-70449670968,6181,1508
6187,6187,2-s2.0-69349090436,6187,1698
6191,6191,2-s2.0-68549101553,6191,1447
6199,6199,2-s2.0-61749093784,6199,2026
6203,6203,2-s2.0-60849109526,6203,1225
6205,6205,2-s2.0-60249091010,6205,1163
6224,6224,2-s2.0-61449130473,6224,1744
