n_documents,metric,n_runs,n_valid,mean,sd,min,max,cv
500,runtime_graph_construction_seconds,10,10,0.09480959569918923,0.009071289938259827,0.08492333398316987,0.10911416701856069,0.09567902775412215
500,runtime_metrics_seconds,10,10,0.019103562500094994,0.0014171216204535652,0.016911833983613178,0.021121124998899177,0.07418101311975284
500,peak_memory_rss_mib,10,10,714.2296875,118.5508692353737,562.375,869.984375,0.1659842363180594
500,baseline_memory_rss_mib,10,10,708.590625,123.3002165560863,546.71875,869.984375,0.17400768822772145
500,peak_memory_increase_mib,10,10,5.6390625,7.203392190452993,0.0,18.765625,1.2774095322499075
1000,nodes_full_graph,10,10,2866.0,44.5121706203296,2780.0,2945.0,0.015531113265990788
1000,edges_full_graph,10,10,3023.9,83.7767536041141,2904.0,3179.0,0.027704869077718873
1000,density_full_graph,10,10,0.0007371773978415933,3.458505701426907e-05,0.0006791171477079797,0.0007960526145474408,0.04691551465838729
1000,n_components_full_graph,10,10,1083.9,41.519607148644575,1022.0,1143.0,0.038305754358007725
1000,lcc_nodes,10,10,1483.8,39.22527529823369,1414.0,1557.0,0.026435688973064895
1000,lcc_edges,10,10,2677.3,95.68588657105545,2546.0,2861.0,0.03573969542862415
1000,lcc_fraction_nodes,10,10,0.517867245482279,0.01693932703320944,0.4971870604781997,0.5436452513966481,0.032709786496410286
1000,modularity,10,10,0.29084078326944546,0.2504697897761053,0.0,0.49984610649430594,0.8611921167330271
1000,n_communities,10,10,1.6,0.5163977794943223,1.0,2.0,0.3227486121839514
1000,mean_degree,10,10,2.110870079717768,0.07434742223260128,1.999320882852292,2.219972067039106,0.03522122130914937
1000,mean_weighted_degree,10,10,2.4193883770525524,0.09172251661032761,2.2743633276740236,2.531654676258993,0.03791144798425031
1000,clustering_coefficient,10,10,0.23909660579446118,0.012726740542351813,0.21643076042767856,0.2581256976439145,0.05322844504656969
1000,backbone_nodes,10,10,3.2,1.0327955589886446,2.0,4.0,0.3227486121839514
1000,backbone_edges,10,10,1.6,0.5163977794943223,1.0,2.0,0.3227486121839514
1000,backbone_components,10,10,1.6,0.5163977794943223,1.0,2.0,0.3227486121839514
1000,backbone_density,10,10,0.5999999999999999,0.34426518632954817,0.3333333333333333,1.0,0.573775310549247
1000,backbone_lcc_nodes,10,10,2.0,0.0,2.0,2.0,0.0
1000,backbone_lcc_edges,10,10,1.0,0.0,1.0,1.0,0.0
1000,backbone_lcc_fraction_nodes,10,10,0.7,0.25819888974716115,0.5,1.0,0.3688555567816588
1000,backbone_mean_degree,10,10,1.0,0.0,1.0,1.0,0.0
1000,backbone_mean_weighted_degree,10,10,24.9,2.766867462592951,20.0,28.5,0.1111191752045362
1000,backbone_empty,10,10,0.0,0.0,0.0,0.0,
1000,vocabulary_size,10,10,2866.0,44.5121706203296,2780.0,2945.0,0.015531113265990788
1000,runtime_total_seconds,10,10,4.921674604105647,0.5321448697924502,4.378222416009521,6.014612875005696,0.10812272500675614
1000,runtime_embedding_seconds,10,10,4.6674187540978895,0.5009764116132004,4.132039165997412,5.621288624999579,0.10733478995715871
1000,runtime_graph_construction_seconds,10,10,0.20906747919798363,0.046087481518674096,0.16938987499452196,0.33243925002170727,0.22044309184514524
1000,runtime_metrics_seconds,10,10,0.04322729580453597,0.007397166713584668,0.03690350000397302,0.058284750004531816,0.17112258761299753
1000,peak_memory_rss_mib,10,10,568.0625,11.175775105949027,550.828125,584.25,0.019673495620550603
1000,baseline_memory_rss_mib,10,10,551.0375,17.26192566578168,520.828125,576.5625,0.03132622673734851
1000,peak_memory_increase_mib,10,10,17.025,9.004107858823845,3.125,30.0,0.5288756451585225
5000,nodes_full_graph,10,10,10227.4,79.57554063069045,10093.0,10340.0,0.00778062270280721
5000,edges_full_graph,10,10,13387.9,111.52722637195915,13247.0,13619.0,0.008330449612856321
5000,density_full_graph,10,10,0.00025604433425677165,4.121234947349963e-06,0.00025031438048420254,0.0002628350631634715,0.016095786533659524
5000,n_components_full_graph,10,10,3726.2,66.81450275035935,3655.0,3885.0,0.017931002831399107
5000,lcc_nodes,10,10,5737.6,80.97077662136302,5630.0,5866.0,0.01411230769334966
5000,lcc_edges,10,10,12523.9,112.38866095434678,12353.0,12740.0,0.00897393471317615
5000,lcc_fraction_nodes,10,10,0.5610139042506764,0.007566928226948533,0.5483870967741935,0.5716674864731923,0.013487951313890113
5000,modularity,10,10,0.32869731586484485,0.03188965197052251,0.2763743518640942,0.3677883515377224,0.09701829139254374
5000,n_communities,10,10,3.0,0.0,3.0,3.0,0.0
5000,mean_degree,10,10,2.6181570987159786,0.026581706034090245,2.5837450353579388,2.6536153467781602,0.010152830801148906
5000,mean_weighted_degree,10,10,3.3796671821338187,0.036371619346109656,3.3133430373605046,3.433270583572773,0.01076189381557557
5000,clustering_coefficient,10,10,0.21976705311329164,0.004729965269607891,0.21413743081541323,0.22743906918412177,0.021522631361715335
5000,backbone_nodes,10,10,28.2,2.14993539954628,25.0,31.0,0.07623884395554185
5000,backbone_edges,10,10,30.7,2.79085809185793,27.0,35.0,0.09090742970221272
5000,backbone_components,10,10,1.2,0.4216370213557839,1.0,2.0,0.35136418446315326
5000,backbone_density,10,10,0.08046494295882506,0.007154973843047163,0.07311827956989247,0.09333333333333334,0.08892038669198404
5000,backbone_lcc_nodes,10,10,27.5,2.718251071716682,23.0,31.0,0.09884549351697025
5000,backbone_lcc_edges,10,10,30.2,3.32665998663324,25.0,35.0,0.11015430419315364
5000,backbone_lcc_fraction_nodes,10,10,0.9748403575989781,0.05407745835690739,0.8518518518518519,1.0,0.05547314279242564
5000,backbone_mean_degree,10,10,2.1766722723163214,0.08876093123484095,2.0689655172413794,2.3076923076923075,0.04077827074095328
5000,backbone_mean_weighted_degree,10,10,76.03263792130087,4.803232339552898,69.24137931034483,85.28,0.0631732959801366
5000,backbone_empty,10,10,0.0,0.0,0.0,0.0,
5000,vocabulary_size,10,10,10227.4,79.57554063069045,10093.0,10340.0,0.00778062270280721
5000,runtime_total_seconds,10,10,15.492873058197437,1.2500110985488548,14.250770042010117,18.067235708003864,0.08068297557549929
5000,runtime_embedding_seconds,10,10,14.31645800419501,1.24627830787808,13.0829463340051,16.879191832995275,0.08705214009728492
5000,runtime_graph_construction_seconds,10,10,0.8560950457991566,0.007809150302066349,0.8458593749965075,0.8714717919938266,0.009121826297659019
5000,runtime_metrics_seconds,10,10,0.31323390399920753,0.012621578684680071,0.29883183300262317,0.3335056659998372,0.040294420634338496
5000,peak_memory_rss_mib,10,10,606.03125,24.162106699822576,569.4375,642.21875,0.03986940722911991
5000,baseline_memory_rss_mib,10,10,582.6125,25.838917827168512,549.078125,618.140625,0.044350091745660306
5000,peak_memory_increase_mib,10,10,23.41875,18.95745877103668,5.703125,60.328125,0.8094991735697542
10000,nodes_full_graph,10,10,17179.2,101.54342256722818,16964.0,17309.0,0.005910835345489206
10000,edges_full_graph,10,10,25092.4,131.9875414996094,24829.0,25253.0,0.005260060476463367
10000,density_full_graph,10,10,0.0001700788373896172,2.733803602311728e-06,0.00016575642053612898,0.0001752083049445467,0.016073743472558678
10000,n_components_full_graph,10,10,6176.8,86.71255195568094,6023.0,6338.0,0.014038426362466152
10000,lcc_nodes,10,10,9887.8,65.23087203668726,9820.0,10033.0,0.0065971067413061815
10000,lcc_edges,10,10,23841.3,150.931956707503,23560.0,24109.0,0.006330693238518998
