nodes_full_graph,edges_full_graph,density_full_graph,n_components_full_graph,lcc_nodes,lcc_edges,lcc_fraction_nodes,modularity,n_communities,mean_degree,mean_weighted_degree,clustering_coefficient,backbone_nodes,backbone_edges,backbone_components,backbone_density,backbone_lcc_nodes,backbone_lcc_edges,backbone_lcc_fraction_nodes,backbone_mean_degree,backbone_mean_weighted_degree,backbone_empty,n_documents,replicate,seed,tau,backbone_threshold,louvain_seed,vocabulary_size,runtime_total_seconds,runtime_embedding_seconds,runtime_graph_construction_seconds,runtime_metrics_seconds,peak_memory_rss_mib,baseline_memory_rss_mib,peak_memory_increase_mib,sample_file,sample_sha256
10093,13386,0.0002628350631634715,3660,5630,12479,0.5578123451897354,0.3288448276914252,3,2.6525314574457544,3.433270583572773,0.2187654530485873,26,30,1,0.09230769230769231,26,30,1.0,2.3076923076923075,82.38461538461539,False,5000,7,48,0.4,20,42,10093,14.250770042010117,13.0829463340051,0.849553250009194,0.3115455000079237,642.21875,618.140625,24.078125,samples/n5000_r7_s48.csv,d156bd4e759138dd95c204f50f0eec60680cb7f583e6e0da74514a0dee8d5c7a
10165,13487,0.0002610798255389768,3655,5811,12694,0.5716674864731923,0.34782354604581023,3,2.6536153467781602,3.4266601082144614,0.21979937213808265,27,28,2,0.07977207977207977,23,25,0.8518518518518519,2.074074074074074,76.29629629629629,False,5000,8,49,0.4,20,42,10165,14.992031083005713,13.805660832993453,0.8507382909883745,0.3288552080048248,619.578125,612.09375,7.484375,samples/n5000_r8_s49.csv,41179f976b1ea4fd07c2d6feb90cdab2cc6b5fb084cb560af51a51941aab6596
10216,13344,0.0002557388887547333,3705,5788,12529,0.5665622552858262,0.3677883515377224,3,2.6123727486296007,3.373923257635082,0.2225780051159197,25,28,1,0.09333333333333334,25,28,1.0,2.24,85.28,False,5000,9,50,0.4,20,42,10216,14.885740124998847,13.721629958978156,0.8509681670111604,0.30623937500058673,619.5,559.171875,60.328125,samples/n5000_r9_s50.csv,76a443f63908b8be81854352eed2bca467c60637750831db67ff89de3dad9a62
10166,13360,0.00025857049418414766,3702,5698,12493,0.5604957702144403,0.35313774781352686,3,2.628369073381861,3.3745819397993313,0.21413743081541323,29,30,2,0.07389162561576355,26,28,0.896551724137931,2.0689655172413794,69.24137931034483,False,5000,10,51,0.4,20,42,10166,14.427601374976803,13.247528665990103,0.8458593749965075,0.327472790988395,630.421875,616.125,14.296875,samples/n5000_r10_s51.csv,37fb31856de377e9d9139afd48823b9e1130904553390d12be676f3e07750b95
17309,24829,0.00016575642053612898,6338,9824,23560,0.5675660061239818,0.35201478323229884,4,2.8689121266393207,3.9764284476284013,0.2091129595763554,76,89,1,0.031228070175438598,76,89,1.0,2.3421052631578947,99.78947368421052,False,10000,1,42,0.4,20,42,17309,25.465210958005628,23.05171299999347,1.698111958015943,0.7036681669997051,679.375,629.5625,49.8125,samples/n10000_r1_s42.csv,d022ccccbba412bf24bacc24245a35fcc00dbd36ee56cd2a79c1c45e5273d0a5
17152,25079,0.00017050455915281038,6172,9820,23784,0.5725279850746269,0.3276683428860912,4,2.9243236940298507,4.03066697761194,0.2140190596081476,77,87,1,0.029733424470266577,77,87,1.0,2.25974025974026,93.92207792207792,False,10000,2,43,0.4,20,42,17152,25.73883708298672,23.319941333000315,1.6956601660058368,0.7115062910015695,681.21875,678.421875,2.796875,samples/n10000_r2_s43.csv,b3f7a6f4f2ae62b70ca99ec33e7b0e16ff4a869d29921bcd6264c99743e1b4f0
17154,25253,0.00017164749945318923,6096,10033,24109,0.5848781625276903,0.33133748627985427,3,2.944269558120555,4.064358167191326,0.2142007164313331,74,86,1,0.03184005923731951,74,86,1.0,2.324324324324324,99.35135135135135,False,10000,3,44,0.4,20,42,17154,25.65341766702477,23.21023704201798,1.690405750006903,0.7411251659796108,673.0625,668.875,4.1875,samples/n10000_r3_s44.csv,30643bd9d471b992826291aba3c5ae39b952a4e04fbd90075ca5061711efd428
17107,25154,0.0001719153790595026,6169,9846,23915,0.5755538668381365,0.32647765617687863,3,2.9407844741918514,4.0323844040451275,0.21889049877212965,70,82,1,0.03395445134575569,70,82,1.0,2.342857142857143,99.71428571428571,False,10000,4,45,0.4,20,42,17107,25.86893749999581,23.435694625019096,1.7069194999930914,0.7144895409874152,659.953125,639.484375,20.46875,samples/n10000_r4_s45.csv,47e0063ed2dc884fdec1a14beeb5cb4cb035063d2a074ff63bebce21600c7d2b
17265,25001,0.00016775650352529546,6219,9952,23800,0.5764262959745149,0.3239295001440358,4,2.8961482768607008,4.004865334491746,0.21389076921362007,72,85,1,0.03325508607198748,72,85,1.0,2.361111111111111,101.69444444444444,False,10000,5,46,0.4,20,42,17265,26.353079499996966,23.89349137499812,1.7102072499983478,0.7373757080058567,672.40625,653.03125,19.375,samples/n10000_r5_s46.csv,0a16dacbc121fa7fa87fbd3a8e4ee623c578ff587f28f8ce864826f62386e401
17235,25189,0.00016960691145639171,6205,9870,23862,0.5726718885987816,0.30020224326978245,4,2.9230055120394547,4.024369016536118,0.21796151762073546,77,88,1,0.03007518796992481,77,88,1.0,2.2857142857142856,96.20779220779221,False,10000,6,47,0.4,20,42,17235,27.619069041014882,25.17685641598655,1.709334791987203,0.7210265829926357,672.109375,671.046875,1.0625,samples/n10000_r6_s47.csv,a3fb0b7ea59c3c3d269c0c44b1a3ffae16889254b1b71bf13fb0b3d68412866f
