keyword,community,degree,weighted_degree
competition,2,7,317
theoretical model,0,8,316
funding,0,10,315
feedback,2,10,315
computer aided design,2,7,315
"science , technology , engineering , and mathematics educations",2,8,313
organization,0,9,312
algorithm,7,6,312
pandemic,6,9,312
planning,2,8,308
coronavirus disease 2019,6,10,308
science teachers,2,10,307
"models, theoretical",0,8,306
publication,0,8,305
sustainability,0,9,305
neural networks,7,10,304
health literacy,0,10,302
engineering careers,2,6,301
health personnel attitude,0,11,301
open source software,2,8,301
drug therapy,0,10,300
mathematical computing,0,8,300
australia,0,9,300
attention deficit disorder with hyperactivity,0,9,300
serious games,2,10,299
k-12 education,2,6,299
community college,2,7,299
mother,0,9,296
student motivation,2,7,296
digital technologies,2,7,295
communication skills,2,8,295
stereotyping,0,7,293
family,0,8,292
pre-service teacher,2,8,291
awareness,0,8,291
stem careers,2,7,290
financial management,0,9,289
linear models,0,9,289
computers,0,8,288
task performance and analysis,0,9,286
intelligent vehicle highway systems,2,8,284
pilot projects,0,9,283
computer,0,8,282
birth weight,0,10,282
educational systems,2,7,282
computational biology,0,9,282
income,0,9,281
learning materials,2,8,281
elementary education,2,7,281
underrepresented students,2,6,280
academic achievements,2,8,280
cultural anthropology,0,8,279
mathematical,0,10,279
school buildings,2,6,277
integral equations,2,8,277
intellectual disability,0,9,277
personalized learning,2,8,276
space perception,0,8,276
sexism,0,9,272
data acquisition,2,7,272
science learning,2,9,272
population statistics,2,7,272
bridges,2,7,271
formative assessment,2,8,270
knowledge acquisition,2,7,269
england,0,9,269
"models, psychological",0,8,267
structural equation modeling,0,8,267
health care quality,0,7,266
engineering concepts,2,7,265
adolescence,0,9,265
animals,0,8,264
social aspects,2,7,264
vision,0,9,262
undergraduate education,2,6,262
student achievement,2,7,262
first year students,2,5,260
college student,0,9,259
language ability,0,8,259
distance learning,2,7,257
software design,2,7,257
aptitude tests,0,9,255
work in progress,2,7,255
instructional designs,2,8,255
student perceptions,2,6,255
mathematics achievement,0,9,255
mathematical analysis,0,8,254
"students, medical",0,9,253
education systems,2,7,251
emotions,0,8,251
engineering undergraduates,2,6,251
graduate student,0,9,251
computing education,2,7,250
reliability,0,8,249
data science,2,7,249
undergraduate engineering students,2,6,248
letter,0,7,248
workforce,0,9,248
individuality,0,8,248
quantitative analysis,0,7,247
philosophy,0,7,247
time,0,8,245
caucasian,0,8,244
art,0,8,244
mathematical thinking,2,7,244
digital devices,2,7,243
educational game,2,8,243
three dimensional computer graphics,2,7,242
school performance,0,9,242
mental health,0,8,242
meta analysis,0,8,242
elementary student,0,9,242
nuclear magnetic resonance imaging,0,8,241
scanning transmission electron microscopy,0,8,241
ict,2,7,241
calculus,2,6,241
hearing impairment,0,8,241
knowledge based systems,2,7,239
health survey,0,8,239
attitude to health,0,8,239
educational environment,2,8,239
medicine,0,8,238
open systems,2,6,237
magnetic resonance imaging,0,9,235
informatics,2,7,235
correlation analysis,0,8,234
undergraduate engineering,2,6,233
obesity,0,9,232
educational attainment,0,9,231
research questions,2,6,230
research and development,2,6,229
psychological model,0,7,229
technology fields,2,6,229
health service,0,7,228
computer-assisted instruction,0,6,227
undergraduate student,0,8,226
accuracy,0,7,226
inclusion,2,7,226
undergraduate,2,7,226
information analysis,2,7,225
technical universities,2,6,225
human engineering,2,6,224
educational experiences,2,6,224
language development,0,8,222
aptitude test,0,8,222
3-d printing,2,7,222
mathematical model,0,6,221
mathematical educations,2,7,220
social psychology,0,7,220
disease association,0,8,219
student success,2,5,218
gender identity,0,7,218
world wide web,2,6,218
school mathematics,2,6,218
"science, technology, engineering and mathematic",2,5,217
conceptual framework,0,7,217
achievement test,0,9,217
case control study,0,8,217
treatment outcome,0,8,215
high school mathematics,2,6,215
competence,0,7,215
expectation,0,8,214
apprentices,2,6,213
logistic models,0,8,213
mobile applications,2,8,213
physical education and training,0,8,213
large language model,2,6,212
natural language processing systems,2,7,212
disease severity,0,7,211
child health,0,8,211
learning analytics,2,7,211
high school teachers,2,6,211
math anxiety,0,8,210
distributed computer systems,2,6,210
educational process,2,6,208
social environment,0,7,207
creative thinking,2,5,207
sweden,0,8,207
undergraduate research,2,5,207
cognitive systems,2,7,206
computer graphics,2,6,205
learning trajectories,2,5,205
graph theory,2,7,205
cooperation,0,7,205
stereotypy,0,7,204
natural science,0,6,203
great britain,0,6,203
ethnic groups,0,7,203
numerical methods,2,5,202
register,0,9,202
semantics,2,6,201
data visualization,2,6,201
early childhood education,0,6,200
outreach programs,2,6,200
comorbidity,0,7,200
student learning outcomes,2,6,200
india,0,7,200
molecular biology,0,8,200
research instruments,2,6,199
women in engineering,2,5,199
research personnel,0,6,199
accreditation,2,5,198
psychomotor performance,0,7,198
gender gap,2,6,198
reasoning,0,7,198
social behavior,0,7,198
learning management system,2,6,197
design and implementations,2,7,197
interactive learning,2,6,197
requirements engineering,2,5,196
cybernetics,2,5,196
intelligent systems,2,6,196
biomedical research,0,5,195
mothers,0,8,195
based,0,5,195
qualitative analysis,0,7,194
school admission criteria,0,6,194
learning approach,2,5,194
bioinformatics,0,7,193
cooperative behavior,0,7,192
fractions,0,7,192
"history, 20th century",0,6,191
e - learning,2,5,191
factor analysis,2,7,191
technology enhanced learning,2,6,191
educational program,2,5,190
engineering students,2,4,189
intervention study,0,7,189
abstracting,2,6,189
experimental research,2,5,188
real-world,2,5,188
3d printing,2,6,188
ecosystems,2,6,185
motor performance,0,7,185
biomedical engineering,2,5,185
mathematic fields,2,6,184
space research,2,6,184
animation,2,5,184
support vector machines,7,7,184
electrical engineering,2,4,184
mathematical modeling,2,6,183
wellbeing,0,7,183
animal,0,6,182
physics education,2,6,182
registries,0,8,181
literature reviews,2,5,181
physician,0,6,181
philosophical aspects,2,6,180
tertiary education,0,6,180
developing countries,2,5,180
model,0,5,179
research subjects,2,3,179
education policy,0,7,179
game design,2,7,179
program development,0,6,178
school health service,0,7,178
developmental disorder,0,7,178
"data interpretation, statistical",0,6,176
international cooperation,0,6,176
behavior disorder,0,7,176
cultural diversity,0,6,176
steam education,2,6,175
computational methods,2,6,175
middle school student,0,8,175
genetics,0,5,174
cross-cultural comparison,0,7,174
social sciences,2,5,173
art educations,2,6,172
university sector,0,5,171
"science , technology , engineering , mathematics",2,5,171
c (programming language),2,5,170
spain,0,7,170
wechsler intelligence scale,0,7,170
signal processing,2,5,169
simulation,0,6,168
decision-tree algorithm,7,4,168
pedagogical approach,2,5,168
undergraduate courses,2,5,168
brain function,0,6,168
computer programming languages,2,6,167
population research,0,7,167
manufacture,2,5,166
nonhuman,0,5,166
content knowledge,2,6,166
"aged, 80 and over",0,7,165
netherlands,0,7,165
ethnology,0,7,164
statistics as topic,0,6,164
validation study,0,7,163
hands-on learning,2,5,162
virtual learning environments,2,5,162
mental disease,0,7,162
music,0,5,162
metacognition,0,6,161
computer program,0,6,161
learning achievement,2,5,161
teaching model,2,5,161
collaboration,0,5,160
pandemics,6,5,160
educational activities,2,5,160
indonesia,2,5,160
development model,2,4,160
engagement,0,6,159
adolescent behavior,0,6,159
complication,0,6,159
computer engineering,2,5,159
early,0,3,159
biological science disciplines,0,6,159
numerical cognition,0,6,158
canada,0,6,158
nutritional status,0,7,158
cost engineering,2,5,157
beliefs,0,5,156
english (language),0,6,156
mathematics teaching,2,5,155
problem-solving abilities,2,4,154
educational tools,2,5,153
predictive value of tests,0,6,153
research design,0,5,153
health status,0,6,153
optimization,2,5,153
practice guideline,0,5,152
interdisciplinary education,0,6,152
chile,0,6,151
engineering learning,2,6,151
codes (symbols),2,5,151
social aspect,0,6,151
brain mapping,0,6,151
engineering practices,2,5,150
engineering problems,2,3,150
scientists and engineers,2,5,150
health services needs and demand,0,6,150
decision theory,7,5,150
interpersonal relations,0,6,150
professional competence,0,5,150
vocational education,0,6,149
aerospace engineering,2,4,147
chinese,0,6,147
elementary school,0,5,146
technology transfer,2,4,146
semi structured interviews,2,5,146
multivariate analysis,0,6,146
autism spectrum disorder,0,6,146
practice,0,4,145
flipped classroom,2,5,145
effect size,0,6,145
school of engineering,2,4,145
engineering science,2,4,144
interdisciplinary,2,5,144
department of education,2,5,144
mental task,0,6,144
