method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
yake,1613,64,26,5,0.03333333333333333,0.23076923076923078,0.8,0.3582089552238806,0.7100546360015869,0.5924710631370544
yake,1614,640,26,5,0.06896551724137931,0.15384615384615385,0.8,0.25806451612903225,0.6128842830657959,0.7802386283874512
yake,1615,641,20,5,0.08695652173913043,0.1,1.0,0.18181818181818182,0.6379373073577881,0.5398961901664734
yake,1616,642,17,5,0.1,0.11764705882352941,0.8,0.20512820512820512,0.657591700553894,0.6628757119178772
yake,1617,643,21,5,0.04,0.09523809523809523,1.0,0.17391304347826084,0.6018646955490112,0.6576452255249023
yake,1618,644,20,5,0.041666666666666664,0.05,0.4,0.0888888888888889,0.5593914985656738,0.6270829439163208
yake,1619,645,17,5,0.0,0.058823529411764705,0.4,0.10256410256410256,0.5516295433044434,0.7016067504882812
yake,1620,646,13,5,0.058823529411764705,0.15384615384615385,0.6,0.2448979591836735,0.6842951774597168,0.7618205547332764
yake,1621,647,13,5,0.058823529411764705,0.38461538461538464,1.0,0.5555555555555556,0.772158145904541,0.8270119428634644
yake,1622,648,12,5,0.0,0.16666666666666666,0.4,0.23529411764705882,0.6141838431358337,0.6461437940597534
yake,1623,649,13,5,0.125,0.46153846153846156,1.0,0.631578947368421,0.7809497117996216,0.7720187902450562
yake,1624,65,12,5,0.13333333333333333,0.25,0.6,0.35294117647058826,0.6898026466369629,0.7088180184364319
yake,1625,650,20,5,0.041666666666666664,0.15,1.0,0.2608695652173913,0.6514718532562256,0.7259434461593628
yake,1626,651,32,5,0.0,0.1875,1.0,0.3157894736842105,0.6334121227264404,0.818431556224823
yake,1627,652,30,5,0.029411764705882353,0.1,0.8,0.1777777777777778,0.6244046092033386,0.730293869972229
yake,1628,653,9,5,0.0,0.2222222222222222,0.4,0.2857142857142857,0.595465898513794,0.6158005595207214
yake,1629,654,12,5,0.0,0.3333333333333333,1.0,0.5,0.7696215510368347,0.9120666980743408
yake,1630,655,15,5,0.0,0.06666666666666667,0.4,0.1142857142857143,0.45561397075653076,0.3783637285232544
yake,1631,656,17,5,0.0,0.35294117647058826,0.6,0.4444444444444445,0.6995500326156616,0.7917912006378174
yake,1632,657,6,5,0.1,0.16666666666666666,0.4,0.23529411764705882,0.5444252490997314,0.5362162590026855
yake,1633,658,6,5,0.0,0.3333333333333333,0.4,0.3636363636363636,0.6074860095977783,0.6294803619384766
yake,1634,659,7,5,0.2,0.2857142857142857,0.4,0.3333333333333333,0.6166912913322449,0.6357868909835815
yake,1635,66,19,5,0.043478260869565216,0.05263157894736842,0.8,0.09876543209876543,0.5883844494819641,0.42120304703712463
yake,1636,660,7,5,0.09090909090909091,0.42857142857142855,1.0,0.6,0.7678924202919006,0.8052359819412231
yake,1637,661,4,5,0.125,0.25,0.6,0.35294117647058826,0.6096001863479614,0.6935701966285706
yake,1638,663,9,5,0.0,0.1111111111111111,0.4,0.1739130434782609,0.4582279920578003,0.5267021059989929
yake,1639,664,6,5,0.1,0.16666666666666666,0.4,0.23529411764705882,0.5891945362091064,0.6096568703651428
yake,1640,67,23,5,0.037037037037037035,0.21739130434782608,1.0,0.3571428571428571,0.6983786821365356,0.7457385063171387
yake,1641,671,6,5,0.0,0.16666666666666666,0.4,0.23529411764705882,0.5123986601829529,0.5219933986663818
yake,1642,673,6,5,0.0,0.16666666666666666,0.4,0.23529411764705882,0.5954238176345825,0.7469765543937683
yake,1643,674,7,5,0.0,0.0,0.0,0.0,0.3614780604839325,0.3696698844432831
yake,1644,675,8,5,0.08333333333333333,0.125,0.6,0.20689655172413793,0.6279807090759277,0.6152629852294922
yake,1645,676,6,5,0.1,0.16666666666666666,0.8,0.27586206896551724,0.6848549246788025,0.8426119089126587
yake,1646,677,5,5,0.0,0.0,0.0,0.0,0.4564693570137024,0.5722261071205139
yake,1647,678,7,5,0.09090909090909091,0.5714285714285714,0.8,0.6666666666666666,0.7730229496955872,0.8315480351448059
yake,1648,679,12,5,0.0,0.5,0.8,0.6153846153846154,0.7484104037284851,0.8122752904891968
yake,1649,68,8,5,0.08333333333333333,0.5,1.0,0.6666666666666666,0.8034790754318237,0.8086217045783997
yake,1650,680,10,5,0.07142857142857142,0.2,0.8,0.32000000000000006,0.6708394289016724,0.6378986835479736
yake,1651,681,19,5,0.09090909090909091,0.2631578947368421,0.8,0.396039603960396,0.6737928986549377,0.7464513778686523
yake,1652,682,9,5,0.16666666666666666,0.4444444444444444,0.6,0.5106382978723405,0.7515110373497009,0.6214733123779297
yake,1653,683,5,5,0.1111111111111111,0.4,0.8,0.5333333333333333,0.6974512338638306,0.5348021984100342
yake,1654,684,4,5,0.125,1.0,0.6,0.7499999999999999,0.7308969497680664,0.7940353155136108
yake,1655,685,12,5,0.0625,0.3333333333333333,1.0,0.5,0.7310754060745239,0.8130233287811279
yake,1656,686,15,5,0.1111111111111111,0.13333333333333333,0.6,0.2181818181818182,0.6552500128746033,0.77036052942276
yake,1657,687,13,5,0.058823529411764705,0.3076923076923077,0.8,0.4444444444444444,0.6724375486373901,0.797240138053894
yake,1658,688,28,5,0.03125,0.25,0.8,0.38095238095238093,0.6559385061264038,0.7992290258407593
yake,1659,689,12,5,0.0,0.25,1.0,0.4,0.6602961421012878,0.6926329731941223
yake,1660,69,16,5,0.05,0.25,0.8,0.38095238095238093,0.6975721120834351,0.7733041048049927
yake,1661,690,19,5,0.0,0.21052631578947367,0.4,0.27586206896551724,0.5928282737731934,0.6322727203369141
yake,1662,691,20,5,0.0,0.25,0.4,0.3076923076923077,0.6385117769241333,0.6883291602134705
yake,1663,692,17,5,0.1,0.23529411764705882,0.8,0.3636363636363636,0.6816336512565613,0.7276279330253601
yake,1664,693,18,5,0.0,0.05555555555555555,0.2,0.08695652173913045,0.47481101751327515,0.6381571888923645
