method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
llama_3.1_8b,144,1132,16,5,0.16666666666666666,0.625,1.0,0.7692307692307693,0.840661883354187,0.8971160054206848
llama_3.1_8b,145,1133,16,5,0.05,0.4375,1.0,0.6086956521739131,0.7692731618881226,0.8102117776870728
llama_3.1_8b,146,1134,10,5,0.5,0.5,1.0,0.6666666666666666,0.8637106418609619,0.8872747421264648
llama_3.1_8b,147,1135,21,5,0.13043478260869565,0.38095238095238093,1.0,0.5517241379310345,0.77723228931427,0.7673398852348328
llama_3.1_8b,148,1136,14,5,0.11764705882352941,0.42857142857142855,1.0,0.6,0.7944611310958862,0.8636097311973572
llama_3.1_8b,149,1137,13,5,0.058823529411764705,0.5384615384615384,0.6,0.5675675675675675,0.6791172027587891,0.7464480996131897
llama_3.1_8b,150,1138,12,5,0.0625,0.3333333333333333,0.8,0.47058823529411764,0.7164344787597656,0.7977532744407654
llama_3.1_8b,151,1139,38,5,0.023809523809523808,0.15789473684210525,0.8,0.26373626373626374,0.5826504230499268,0.7131897211074829
llama_3.1_8b,152,114,12,5,0.0625,0.6666666666666666,1.0,0.8,0.7320958375930786,0.9007785320281982
llama_3.1_8b,153,1140,22,5,0.22727272727272727,0.3181818181818182,1.0,0.4827586206896552,0.7790654897689819,0.8636164665222168
llama_3.1_8b,154,1141,16,5,0.0,0.125,0.4,0.19047619047619047,0.6244685649871826,0.684076726436615
llama_3.1_8b,155,1142,24,5,0.03571428571428571,0.25,0.8,0.38095238095238093,0.7021365165710449,0.8308163285255432
llama_3.1_8b,156,1143,35,5,0.05263157894736842,0.22857142857142856,0.8,0.3555555555555555,0.6811046004295349,0.5856971144676208
llama_3.1_8b,157,1144,21,5,0.18181818181818182,0.5238095238095238,1.0,0.6875000000000001,0.8126752376556396,0.8290638327598572
llama_3.1_8b,158,1145,23,5,0.037037037037037035,0.34782608695652173,1.0,0.5161290322580645,0.7438942790031433,0.8037406206130981
llama_3.1_8b,159,1146,24,5,0.16,0.3333333333333333,1.0,0.5,0.7878931760787964,0.8754143118858337
llama_3.1_8b,160,1147,24,5,0.07407407407407407,0.25,0.8,0.38095238095238093,0.7057749629020691,0.7470053434371948
llama_3.1_8b,161,1148,24,5,0.0,0.25,0.6,0.35294117647058826,0.6332056522369385,0.7128809094429016
llama_3.1_8b,162,1149,19,5,0.043478260869565216,0.2631578947368421,0.8,0.396039603960396,0.6675527095794678,0.7355237603187561
llama_3.1_8b,163,115,9,4,0.0,0.5555555555555556,1.0,0.7142857142857143,0.7344692945480347,0.8561102151870728
llama_3.1_8b,164,1150,25,5,0.1111111111111111,0.24,1.0,0.3870967741935484,0.7541031837463379,0.7538598775863647
llama_3.1_8b,165,1151,22,5,0.08,0.22727272727272727,0.8,0.35398230088495575,0.668320894241333,0.7706724405288696
llama_3.1_8b,166,1152,21,5,0.08333333333333333,0.3333333333333333,1.0,0.5,0.7756935358047485,0.8573622107505798
