method,row_abs,doc_id,gt_n,pred_n,jaccard_lex,soft_recall,soft_precision,soft_f1,soft_mean_max,global_sem_sim
tfidf,80,1075,16,5,0.05,0.3125,0.6,0.4109589041095891,0.6747134327888489,0.6749679446220398
tfidf,81,1076,16,5,0.0,0.5,0.8,0.6153846153846154,0.7022721767425537,0.6574517488479614
tfidf,82,1077,17,5,0.0,0.5882352941176471,0.8,0.6779661016949153,0.7032549977302551,0.696200430393219
tfidf,83,1078,13,5,0.125,0.5384615384615384,1.0,0.7000000000000001,0.7561898827552795,0.7788766026496887
tfidf,84,1079,13,5,0.0,0.15384615384615385,0.8,0.25806451612903225,0.6157104969024658,0.512449324131012
tfidf,85,108,11,5,0.06666666666666667,0.5454545454545454,1.0,0.7058823529411764,0.7770037055015564,0.829637885093689
tfidf,86,1080,10,5,0.07142857142857142,0.2,0.2,0.20000000000000004,0.6551082134246826,0.7767685651779175
tfidf,87,1081,12,5,0.13333333333333333,0.3333333333333333,0.6,0.42857142857142855,0.6533278226852417,0.6666200160980225
tfidf,88,1082,12,5,0.0625,0.3333333333333333,0.8,0.47058823529411764,0.6970650553703308,0.6400496363639832
tfidf,89,1083,10,5,0.07142857142857142,0.4,1.0,0.5714285714285715,0.7413287162780762,0.849269449710846
tfidf,90,1084,13,5,0.058823529411764705,0.07692307692307693,0.6,0.13636363636363635,0.6045281291007996,0.6392377018928528
tfidf,91,1085,12,5,0.0,0.0,0.0,0.0,0.43164128065109253,0.5005816221237183
tfidf,92,1086,11,5,0.0,0.0,0.0,0.0,0.406921923160553,0.5198482871055603
tfidf,93,1087,13,5,0.058823529411764705,0.07692307692307693,0.6,0.13636363636363635,0.6437870860099792,0.6168290972709656
tfidf,94,1088,9,5,0.0,0.2222222222222222,0.8,0.3478260869565218,0.6063432097434998,0.7564498782157898
tfidf,95,1089,9,5,0.07692307692307693,0.3333333333333333,0.8,0.47058823529411764,0.6226601600646973,0.5246016383171082
tfidf,96,109,10,5,0.07142857142857142,0.3,0.6,0.4,0.679365873336792,0.8208238482475281
tfidf,97,1090,12,5,0.0625,0.16666666666666666,1.0,0.2857142857142857,0.7177746295928955,0.7867133617401123
tfidf,98,1091,13,5,0.058823529411764705,0.23076923076923078,0.6,0.33333333333333337,0.6210545897483826,0.5524047613143921
tfidf,99,1092,28,5,0.0,0.21428571428571427,0.8,0.3380281690140845,0.639885663986206,0.7465054988861084
tfidf,100,1093,16,5,0.0,0.1875,0.6,0.2857142857142857,0.5958549976348877,0.4988492429256439
tfidf,101,1094,18,5,0.0,0.1111111111111111,0.4,0.1739130434782609,0.6033655405044556,0.6177293062210083
tfidf,102,1095,29,5,0.0625,0.3103448275862069,1.0,0.4736842105263158,0.7050319910049438,0.6370081305503845
tfidf,103,1096,22,5,0.0,0.045454545454545456,0.2,0.07407407407407407,0.6145884990692139,0.6360751986503601
tfidf,104,1097,15,5,0.05263157894736842,0.4666666666666667,0.6,0.5249999999999999,0.7103031277656555,0.8297531604766846
tfidf,105,1098,13,5,0.058823529411764705,0.38461538461538464,0.8,0.5194805194805195,0.6907110214233398,0.7028846740722656
