K,topic,npmi,top_words
30,18,0.08783696151062653,"['learning', 'online', 'technology', 'digital', 'use', 'teaching', 'students', 'technologies', 'resources', 'education']"
30,19,0.20762190529757543,"['children', 'early', 'skills', 'age', 'childhood', 'years', 'reading', 'numeracy', 'early childhood', 'development']"
30,20,0.09090426722144625,"['students', 'learning', 'research', 'study', 'based', 'data', 'used', 'test', 'model', 'results']"
30,21,0.16234760290464711,"['game', 'learning', 'design', 'games', 'reality', 'based', 'educational', 'virtual', 'digital', 'mobile']"
30,22,0.09691762770519005,"['study', 'data', 'findings', 'qualitative', 'analysis', 'language', 'research', 'interviews', 'learners', 'english']"
30,23,0.18107461257050703,"['engineering', 'program', 'faculty', 'programs', 'university', 'graduate', 'undergraduate', 'technology', 'engineering education', 'education']"
30,24,0.15829459079114225,"['students', 'school', 'high', 'program', 'high school', 'activities', 'middle', 'project', 'engineering', 'school students']"
30,25,0.09017265129231702,"['students', 'college', 'student', 'success', 'academic', 'high', 'black', 'study', 'social', 'higher']"
30,26,0.2401151550461043,"['gender', 'women', 'female', 'girls', 'career', 'male', 'differences', 'study', 'fields', 'gap']"
30,27,0.22058432840940323,"['teachers', 'teacher', 'teaching', 'professional', 'development', 'practices', 'teacher education', 'classroom', 'mathematics teachers', 'professional development']"
30,28,0.1017957689113003,"['research', 'education', 'mathematics education', 'space', 'review', 'studies', 'researchers', 'field', 'articles', 'education research']"
30,29,0.1352706808447801,"['course', 'students', 'engineering', 'courses', 'undergraduate', 'calculus', 'student', 'physics', 'university', 'paper']"
40,0,0.15448217180133147,"['research', 'studies', 'review', 'literature', 'education', 'systematic', 'analysis', 'articles', 'motivation', 'meta']"
40,1,0.07243677598307972,"['steam', 'education', 'abstract', 'available', 'arts', 'abstract available', 'art', 'mathematics education', 'steam education', 'matemática']"
40,2,0.1005611798848985,"['mathematical', 'students', 'understanding', 'learning', 'concepts', 'reasoning', 'knowledge', 'thinking', 'conceptual', 'concept']"
40,3,0.16060503025796685,"['problem', 'solving', 'problem solving', 'problems', 'mathematical', 'students', 'results', 'la', 'en', 'solve']"
40,4,0.08157275449516727,"['education', 'development', 'educational', 'higher', 'higher education', 'social', 'quality', 'training', 'global', 'challenges']"
40,5,0.10252398796542293,"['students', 'geometry', 'questions', 'geogebra', 'errors', 'open', 'geometric', 'answer', 'ended', 'use']"
40,6,0.1402933678596229,"['school', 'primary', 'secondary', 'education', 'schools', 'primary school', 'international', 'secondary school', 'pupils', 'countries']"
40,7,0.13748706544091474,"['achievement', 'performance', 'students', 'academic', 'school', 'student', 'study', 'grade', 'scores', 'results']"
40,8,0.08769445969699352,"['learning', 'students', 'skills', 'based', 'design', 'thinking', 'approach', 'project', 'knowledge', 'teaching']"
40,9,0.17800485204465713,"['science', 'computer', 'computer science', 'science mathematics', 'mathematics science', 'science education', 'biology', 'chemistry', 'sciences', 'scientific']"
40,10,0.15873237080109556,"['digital', 'technology', 'use', 'programming', 'computational', 'technologies', 'tools', 'thinking', 'educational', 'computational thinking']"
40,11,0.08662156300908941,"['students', 'university', 'education', 'level', 'year', 'higher', 'statistics', 'study', 'higher education', 'degree']"
40,12,0.1838254953724883,"['service', 'pre', 'pre service', 'service teachers', 'modelling', 'modeling', 'mathematical', 'teachers', 'mathematical modelling', 'education']"
40,13,0.07373835759307798,"['program', 'evaluation', 'results', 'training', 'quality', 'programs', 'survey', 'al', 'et', 'significant']"
40,14,0.08357875543091818,"['data', 'based', 'model', 'using', 'paper', 'information', 'learning', 'algorithm', 'software', 'network']"
40,15,0.20171623495957267,"['assessment', 'test', 'scale', 'items', 'assessments', 'instrument', 'validity', 'tests', 'measurement', 'measure']"
40,16,0.48314053111644023,"['stem', 'science', 'technology', 'science technology', 'engineering', 'technology engineering', 'engineering mathematics', 'stem education', 'education', 'mathematics stem']"
40,17,0.19299928741191777,"['ai', 'spatial', 'intelligence', '2025', '2025 elsevier', 'proof', 'learning', 'artificial', 'education', 'artificial intelligence']"
40,18,0.2313549259829826,"['learning', 'online', 'teaching', 'students', 'teaching learning', 'environment', '19', 'covid', 'pandemic', 'covid 19']"
40,19,0.24150035553308227,"['children', 'early', 'age', 'years', 'childhood', 'school', 'early childhood', 'parents', 'health', 'child']"
40,20,0.08803384828646005,"['students', 'data', 'study', 'research', 'analysis', 'used', 'results', 'education', 'using', 'method']"
40,21,0.16531959914518646,"['game', 'learning', 'games', 'design', 'mobile', 'based', 'reality', 'virtual', 'educational', '3d']"
40,22,0.12201691220907629,"['study', 'findings', 'data', 'qualitative', 'interviews', 'analysis', 'research', 'participants', 'case', 'approach']"
40,23,0.1587907773227805,"['engineering', 'faculty', 'program', 'university', 'engineering education', 'technology', 'paper', 'programs', 'education', 'engineering students']"
