EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-84890964007,ambiguous,,4,5,3,0.6892338852972004,1,0.5972406387304224,3,0.5489051783980817,3,0.58737042965044,1,0.5184054961369815,3,0.5719161841600559,3,0.5283519419337027
2-s2.0-84890881486,unassigned,,0,5,1,0.6858221159306579,6,0.8825841506974997,14,0.8338398182724417,14,0.6992921286548962,14,0.6322218680044025,14,0.5392823776418625,14,0.48372119661408325
2-s2.0-84890614296,ambiguous,,4,5,4,0.8550112592595471,8,0.4179217842843219,14,0.9069997428459211,14,0.6909048312279246,21,0.776415136066218,21,0.7554126108601124,49,0.40239033686641634
2-s2.0-84921461206,assigned,0.0,1,5,0,0.565933257756798,5,0.47377952067825957,5,0.3552883335999952,15,0.3641637004593086,7,0.2160114589717274,15,0.24792275507311246,33,0.25707063869505764
2-s2.0-84890235666,assigned,0.0,1,5,2,0.42889130233284783,5,0.45456351612753226,5,0.40797954043321805,12,0.41456432738379734,13,0.49301321088828426,30,0.2653265231762527,13,0.41517233387337954
2-s2.0-84890227431,assigned,1.0,4,5,2,0.5151511045234048,7,0.469868165110897,6,0.6711248263449705,6,0.5842779056950554,22,0.39202321374300725,36,0.3006231200299574,36,0.28591188202209716
2-s2.0-84890182457,unassigned,,0,5,2,0.43402301249463804,2,0.2397941358912519,6,0.3276784059198211,10,0.2117033993064123,4,0.16041401397866398,22,0.18175794031423875,22,0.1637010788690908
2-s2.0-84890147770,assigned,0.0,2,5,0,0.7499743657901721,7,0.3805496587249016,7,0.2388452852605852,6,0.2525138370312691,19,0.20889523505357288,7,0.3239836142922296,7,0.24511664548775464
2-s2.0-84890146266,ambiguous,,2,5,4,0.33935686277568,5,0.3332751936386108,5,0.2444457361776821,7,0.23848650004008726,7,0.16213251357577527,4,0.19591216401828807,4,0.20137484108763906
2-s2.0-84890108422,assigned,2.0,1,5,1,0.34291277898082045,6,0.3238407387766554,14,0.32948378094732156,14,0.3223833601145728,2,0.27570604938142895,2,0.16947238032757117,49,0.1749490146335084
2-s2.0-84890101417,assigned,0.0,3,5,2,0.5383991851195038,1,0.4481562187993594,2,0.5121632668013733,2,0.5165206468292891,2,0.6274510490581691,2,0.3582656021077458,32,0.23576984691443462
2-s2.0-84890082107,assigned,0.0,3,5,3,0.7784247759379442,8,0.6814415257596343,8,0.4074944581253471,18,0.4340163492997745,8,0.3209972808579379,18,0.20985891509236312,41,0.16882905715702654
2-s2.0-84890080295,ambiguous,,2,5,4,0.6686504900817376,4,0.33891614107675927,13,0.32023765617649763,16,0.38596647987612137,24,0.31444036180929147,24,0.32364513836162667,24,0.2386353926267447
2-s2.0-84890037336,assigned,2.0,1,5,1,0.5317365251758378,1,0.6831523795282419,1,0.5490546456658051,1,0.40626153304385054,1,0.2645841488607395,32,0.397676643663757,32,0.20960086692505003
2-s2.0-84890015739,assigned,0.0,4,5,2,0.4622154868363375,2,0.3952968556949561,14,0.27613021061892745,12,0.2661631635086557,21,0.24006292289494555,12,0.20135714785313272,49,0.28296862440866277
2-s2.0-84889817985,assigned,0.0,2,5,0,0.43125636479277507,6,0.3724648483536641,14,0.2960560082000245,14,0.2511336303418757,0,0.2193798041498685,11,0.13625608806440692,29,0.1570780221953565
2-s2.0-84889787819,ambiguous,,2,5,3,0.7256182331983608,3,0.6890166150984767,3,0.7014658925150133,3,0.5243433430772373,3,0.36928231417608076,39,0.31284938128002043,43,0.2780206540562592
2-s2.0-84889779180,assigned,0.0,3,5,3,0.5767209453301587,6,0.3833186848795072,14,0.38241594937883355,14,0.3094703284051435,29,0.2311117285152301,29,0.17940716687993064,38,0.20147585683747407
2-s2.0-84890798322,ambiguous,,2,5,2,0.43539445860033527,2,0.3292318391155554,10,0.2646273938149239,7,0.26075563467925017,20,0.15787241807436256,31,0.25892075673475073,31,0.25040087522482074
2-s2.0-84889640444,assigned,3.0,3,5,1,0.5751472230779815,1,0.6429701068150646,2,0.4208807307073955,1,0.39087994713431606,15,0.3475887302893184,2,0.4441771281732766,2,0.42274293914572886
2-s2.0-84892573273,assigned,4.0,1,5,0,0.8825947839136825,7,0.6269176610295968,7,0.6302507256023914,19,0.54671179231189,19,0.31239810330106127,7,0.3587007740839359,7,0.22142366957202808
2-s2.0-84892389132,unassigned,,0,5,0,0.8794143990342932,7,0.6449331165089898,7,0.5930404777700432,19,0.3997161391052106,5,0.2928331691513544,19,0.2804520843990547,39,0.22192224557055046
2-s2.0-84889077912,ambiguous,,2,5,1,0.44263045003309853,9,0.2882587697646763,2,0.39247375076892943,2,0.3284215873232955,2,0.22574874489132038,4,0.17280918152443048,42,0.2161153748684979
2-s2.0-84889049649,assigned,0.0,3,5,4,0.7493203051860556,6,0.7427183297488338,14,0.7377065990475573,14,0.6103062613023432,14,0.3015571978591142,14,0.3410338684386452,17,0.3056176065733274
2-s2.0-84888990233,assigned,0.0,3,5,3,0.845294447367672,5,0.37163832425780846,5,0.31391697491951354,7,0.29040857841492307,10,0.19147353720360047,31,0.27019212280453686,31,0.20609881623327952
2-s2.0-84888397525,assigned,0.0,1,5,3,0.5187158409111148,1,0.5936128756018019,3,0.5369155397484617,3,0.521072763465167,1,0.34691978942756657,37,0.45984665945107195,37,0.35622674146566435
2-s2.0-84888395892,assigned,0.0,2,5,2,0.49266231519247144,1,0.7393496011690526,1,0.6161058004450489,1,0.626951664995604,1,0.5607492948039557,37,0.3799643444028786,37,0.303810659507857
2-s2.0-84889039381,assigned,2.0,3,5,2,0.4284454475128402,2,0.4057039153841051,9,0.38962901948645595,10,0.2108988514751569,27,0.43676910467087243,27,0.45211543166069335,27,0.39886929830685686
2-s2.0-84889027323,assigned,2.0,3,5,1,0.6734116006292961,9,0.726437635942068,9,0.5567713153156523,13,0.48132053521223256,23,0.4167857373757888,28,0.31827975811761283,23,0.42564636123208704
2-s2.0-84888380007,assigned,2.0,3,5,1,0.4517574374509595,9,0.46685427859871587,9,0.5268834422007395,16,0.5291880476706746,26,0.43603665707155376,26,0.45435171641591054,26,0.3646809466758841
2-s2.0-84888324481,ambiguous,,2,5,2,0.6634672361895577,2,0.4814111495378236,10,0.40910007152723876,8,0.22754543921011022,27,0.21911879445724491,9,0.1806313261009641,9,0.16992059482252195
2-s2.0-85164573828,assigned,0.0,3,5,0,0.5631452285531644,9,0.3986885255200503,9,0.4484063579431741,13,0.404103240605504,25,0.5137387651810659,25,0.437836966996417,25,0.4574771883684582
2-s2.0-84994332389,assigned,0.0,2,5,2,0.6235177172918588,2,0.3471625628481546,12,0.2708607089535988,12,0.25905329708299546,6,0.19767993788411012,30,0.28020093478180563,30,0.25369787174412567
2-s2.0-84931401810,assigned,0.0,2,5,2,0.5329119699685758,1,0.38016931415214333,2,0.4886928094579688,2,0.4952549651346841,2,0.463977228158109,2,0.3013882618564147,2,0.41765943190535554
2-s2.0-84927566404,assigned,2.0,1,5,1,0.4292090146752383,9,0.6041128043611548,9,0.5681601573694035,13,0.4308644956452801,25,0.2892201680933974,25,0.3589135824633843,25,0.2685608481498831
2-s2.0-84906600258,assigned,1.0,2,5,2,0.6278422278104261,1,0.9249954806651403,2,0.5033360044636145,1,0.9208333327453114,2,0.5865315618239071,32,0.5585610146249257,32,0.5792567107471107
2-s2.0-84906159616,assigned,1.0,1,5,4,0.46279154247506926,4,0.38024759741335,4,0.3319212771049245,4,0.2706652326696517,4,0.3616916269683114,32,0.16909905325047184,42,0.28227932652959203
2-s2.0-84902662562,unassigned,,0,5,0,0.5546679345055398,7,0.46146271079067597,6,0.6871127364168913,6,0.6235814153415272,6,0.6017414229476205,6,0.45310057543240523,6,0.5574477526777405
2-s2.0-84902658375,assigned,0.0,1,5,2,0.4865954101304851,1,0.5339584756774491,6,0.28240162482143405,2,0.30106807679243675,2,0.37822884806685114,37,0.21199303297679462,11,0.16566784577199695
2-s2.0-84900630112,assigned,1.0,4,5,1,0.46162080651864035,6,0.6610480036397463,14,0.7409618044974702,14,0.6766208885818077,14,0.48498162284301055,14,0.5192714870888514,21,0.28370116477410107
2-s2.0-84898397011,assigned,1.0,1,5,1,0.9537488171787057,9,0.547711862109079,9,0.660559847360163,9,0.6801194413005719,9,0.5475113403755963,9,0.4955763403891061,9,0.5637842619199464
2-s2.0-84898255711,assigned,0.0,4,5,2,0.6181090232652545,2,0.34932944624508216,12,0.22522682079502576,19,0.24150050311829113,19,0.23912713189635332,19,0.21241534416097568,19,0.22725485302381415
2-s2.0-84898203460,assigned,0.0,3,5,2,0.5091130849810335,2,0.45088335420047854,10,0.2910423893425611,8,0.2439260354385174,27,0.3309828428360979,27,0.2105945954504379,27,0.18703679359537304
2-s2.0-84898101523,assigned,0.0,4,5,2,0.6432964377214279,2,0.46678663457284386,12,0.4267990357091536,12,0.43407804711663533,12,0.28082428237994106,30,0.34631500948777927,30,0.3513062325196203
2-s2.0-84898098297,assigned,0.0,1,5,2,0.6544167451002032,2,0.5240392888392507,2,0.3899140995291105,10,0.3226858591230618,22,0.29718909576567043,22,0.324433244455373,22,0.30325544774551005
2-s2.0-84897883122,assigned,2.0,1,5,1,0.7940019338526735,6,0.44485020314337803,11,0.47331383451391845,11,0.5168054191087027,29,0.8289756068886489,38,0.26851712742148276,38,0.23284791900480825
2-s2.0-84897854639,assigned,2.0,1,5,1,0.6810648145318042,9,0.5489087971657509,11,0.5489166747069314,11,0.523668046452698,29,0.5659253713211339,29,0.32639301830816314,29,0.34052376365147424
2-s2.0-84897854528,ambiguous,,2,5,3,0.5697616730426096,3,0.3100302323573321,8,0.25696217813671884,3,0.2553214563074743,8,0.22512363548471973,21,0.17258577653603976,49,0.22690910710451145
2-s2.0-84896847634,assigned,1.0,3,5,3,0.8414230315393314,5,0.49808527366750693,5,0.5905537997773983,7,0.3747475639037726,5,0.42831677181746086,31,0.4456050220660739,31,0.3768393960953105
2-s2.0-84896762209,assigned,0.0,1,5,3,0.6423440464683907,6,0.5288917340007386,14,0.3493910495906141,14,0.28938772995152123,13,0.41153952031147834,13,0.3401175069809407,13,0.40748454447509513
2-s2.0-84896743587,assigned,2.0,1,5,1,0.48472052018219836,3,0.3036955061225637,2,0.28755889693936276,3,0.2317597022555081,2,0.2440921390389423,2,0.2159054049655541,2,0.22357409954064156
2-s2.0-84896584765,unassigned,,0,5,1,0.7428720544677231,1,0.46621322585923936,1,0.43379418673302184,4,0.6404025161755846,4,0.5688759057116022,4,0.6261980464849616,42,0.4972410704373197
2-s2.0-84895369084,ambiguous,,2,5,0,0.9637123269998644,7,0.8125117450835098,7,0.6945438132507614,19,0.5101900394003027,19,0.4470011081176965,7,0.45927337346115854,7,0.3963747957523037
2-s2.0-84895319076,assigned,0.0,3,5,0,0.566453231409499,0,0.3845878834654778,0,0.3068618667779338,0,0.3455538211998436,13,0.38737896475630157,35,0.34082595855587383,35,0.35062123099902737
2-s2.0-84895262793,assigned,2.0,1,5,1,0.7018022371583439,9,0.8475611135708447,9,0.9949016916831851,16,0.5406350957698696,16,0.2866787542877926,28,0.27096367292557044,16,0.2061158264566361
2-s2.0-84894280191,assigned,0.0,4,5,3,0.5752469291585981,1,0.650989369987726,3,0.4595577614498786,3,0.6130541751720067,1,0.37127596049201356,3,0.4353218454893021,3,0.46313718985284186
2-s2.0-84894258897,assigned,0.0,1,5,3,0.6469163876899638,8,0.30396084103792703,3,0.3708306048005379,8,0.3996338849816893,11,0.466997598706532,3,0.26122771194721145,4,0.3200070943027729
2-s2.0-84894252360,assigned,0.0,4,5,2,0.6346955042111739,2,0.5053053097962749,10,0.47484731255175205,10,0.43037944072899537,10,0.3044937164748721,6,0.31033749239288416,27,0.22596009069739528
2-s2.0-84894251442,assigned,1.0,3,5,1,0.45765569294092695,9,0.350767396061127,9,0.28438347996776814,16,0.31350796131947045,14,0.248385560696656,25,0.19255221738682604,42,0.323711024805935
2-s2.0-84894214611,assigned,0.0,3,5,1,0.452305564053709,9,0.4196849672175307,13,0.2689639937549949,13,0.29968438148357934,23,0.38035795987493104,23,0.3852856049771861,48,0.3132751246827289
2-s2.0-84894211672,assigned,0.0,4,5,1,0.5597972444297782,6,0.35082686179368433,14,0.3167825559097214,11,0.2972556880871169,29,0.2269392148984103,38,0.19619876669474218,38,0.2510763310539428
2-s2.0-84894168980,assigned,1.0,4,5,4,0.2753884162655061,3,0.33943769594100565,13,0.2626258234119089,8,0.28049190251969847,8,0.2824221789215659,23,0.3079793406854306,48,0.28329301450050254
2-s2.0-84894147295,ambiguous,,2,5,1,0.4435074264586339,9,0.4032223792356778,13,0.3313044506979121,11,0.22008355009131772,23,0.24207690012971966,23,0.2938539518912289,48,0.32498518764854833
2-s2.0-84894144250,assigned,0.0,3,5,0,0.41888630172009184,7,0.2899875953725329,6,0.44467376344632553,6,0.33484192799443546,6,0.2802467456868234,4,0.31728117045009774,33,0.19615611660924478
2-s2.0-84894142245,assigned,2.0,3,5,4,0.7165086621459275,4,0.6729342820379138,4,0.6298147782720951,4,0.47687230083505133,4,0.4026637869811984,4,0.42414136569483474,4,0.2475129802513082
