crs_community,lda_topic_k50,n_documents,proportion_within_crs_community
2,26,390,0.04167557170335542
2,27,298,0.03184441119897414
2,28,247,0.02639452874545843
2,29,258,0.027569993588373583
2,30,33,0.0035263945287454584
2,31,62,0.006625347296430861
2,32,125,0.013357555033126736
2,33,19,0.002030348365035264
2,34,13,0.0013891857234451805
2,35,84,0.008976276982261167
2,36,39,0.004167557170335541
2,37,77,0.00822825390040607
2,38,224,0.023936738619363112
2,39,12,0.0012823252831801668
2,40,8,0.0008548835221201111
2,41,69,0.007373370378285959
2,42,492,0.05257533661038683
2,43,98,0.010472323145971362
2,44,9,0.0009617439623851251
2,45,136,0.01453301987604189
2,46,207,0.022120111134857876
2,47,130,0.013891857234451806
2,48,1565,0.16723658901474675
2,49,225,0.024043599059628124
3,2,10,0.30303030303030304
3,5,2,0.06060606060606061
3,7,1,0.030303030303030304
3,8,4,0.12121212121212122
3,10,1,0.030303030303030304
3,11,1,0.030303030303030304
3,22,1,0.030303030303030304
3,27,1,0.030303030303030304
3,29,1,0.030303030303030304
3,30,1,0.030303030303030304
3,31,2,0.06060606060606061
3,39,2,0.06060606060606061
3,43,2,0.06060606060606061
3,45,1,0.030303030303030304
3,46,1,0.030303030303030304
3,48,1,0.030303030303030304
3,49,1,0.030303030303030304
4,0,5,0.004803073967339097
4,1,10,0.009606147934678195
4,2,15,0.01440922190201729
4,3,3,0.002881844380403458
4,4,23,0.022094140249759846
4,5,1,0.0009606147934678194
4,6,7,0.0067243035542747355
4,7,5,0.004803073967339097
4,8,12,0.011527377521613832
4,9,29,0.027857829010566763
4,10,70,0.06724303554274735
4,11,3,0.002881844380403458
4,12,1,0.0009606147934678194
4,13,5,0.004803073967339097
4,14,436,0.41882804995196926
4,15,4,0.0038424591738712775
4,16,4,0.0038424591738712775
4,17,98,0.0941402497598463
4,18,2,0.0019212295869356388
4,19,3,0.002881844380403458
4,21,23,0.022094140249759846
4,23,8,0.007684918347742555
4,24,12,0.011527377521613832
4,25,7,0.0067243035542747355
4,26,8,0.007684918347742555
4,27,3,0.002881844380403458
4,28,15,0.01440922190201729
4,29,17,0.01633045148895293
4,31,6,0.005763688760806916
4,32,13,0.012487992315081652
4,33,3,0.002881844380403458
4,34,2,0.0019212295869356388
4,35,5,0.004803073967339097
4,37,15,0.01440922190201729
4,38,51,0.04899135446685879
4,39,4,0.0038424591738712775
4,40,1,0.0009606147934678194
4,41,3,0.002881844380403458
4,42,14,0.013448607108549471
4,43,32,0.03073967339097022
4,44,1,0.0009606147934678194
4,45,7,0.0067243035542747355
4,46,4,0.0038424591738712775
4,47,4,0.0038424591738712775
4,48,34,0.03266090297790586
4,49,13,0.012487992315081652
5,0,3,0.05263157894736842
5,2,2,0.03508771929824561
5,4,3,0.05263157894736842
5,8,1,0.017543859649122806
5,12,1,0.017543859649122806
5,13,1,0.017543859649122806
5,14,1,0.017543859649122806
5,21,3,0.05263157894736842
5,25,1,0.017543859649122806
5,28,2,0.03508771929824561
5,37,1,0.017543859649122806
5,38,1,0.017543859649122806
5,45,1,0.017543859649122806
5,46,1,0.017543859649122806
5,49,35,0.6140350877192983
6,0,1,0.02702702702702703
6,2,2,0.05405405405405406
6,6,2,0.05405405405405406
6,11,1,0.02702702702702703
6,16,1,0.02702702702702703
6,23,12,0.32432432432432434
6,24,2,0.05405405405405406
6,26,1,0.02702702702702703
6,32,10,0.2702702702702703
6,36,3,0.08108108108108109
6,42,2,0.05405405405405406
