source,target,weight,sim_count,sim_mean
mathematics education,education,186,186,0.6101576685905457
mathematics education,education policy,37,37,0.40623167157173157
mathematics education,education reform,31,31,0.4106767773628235
mathematics education,educational context,33,33,0.5402172803878784
mathematics education,educational games,22,22,0.45628371834754944
mathematics education,educational innovation,21,21,0.491300106048584
mathematics education,educational outcomes,22,22,0.4750024676322937
mathematics education,educational process,21,21,0.5457972884178162
mathematics education,educational reform,41,41,0.41133078932762146
mathematics education,educational research,51,51,0.5526203513145447
mathematics education,educational robotics,25,25,0.45803767442703247
mathematics education,educational software,28,28,0.5015577673912048
mathematics education,educational technology,179,179,0.5692233443260193
mathematics education,effective teaching,26,26,0.5516307950019836
mathematics education,elementary education,163,163,0.5950988531112671
mathematics education,elementary mathematics,37,37,0.8760154843330383
mathematics education,elementary school,221,221,0.5196462869644165
mathematics education,elementary school students,40,40,0.4677998721599579
mathematics education,elementary school teachers,30,30,0.5095441937446594
mathematics education,elementary schools,59,59,0.5232380032539368
mathematics education,elementary students,59,59,0.5350587964057922
mathematics education,elementary teachers,59,59,0.553260326385498
mathematics education,engineering education,333,333,0.47334009408950806
mathematics education,engineering mathematics,21,21,0.790343165397644
mathematics education,engineering students,146,146,0.464005708694458
mathematics education,english language learners,27,27,0.4212801456451416
mathematics education,equity in education,22,22,0.4431532621383667
mathematics education,female students,28,28,0.4079587757587433
mathematics education,financial literacy,26,26,0.45892810821533203
mathematics education,flipped classroom,92,92,0.4729546904563904
mathematics education,flipped learning,26,26,0.44391220808029175
mathematics education,future teachers,22,22,0.48927542567253113
mathematics education,general education,21,21,0.5275356769561768
mathematics education,geometry,239,239,0.4998020529747009
mathematics education,geometry education,28,28,0.6721357107162476
mathematics education,geometry learning,26,26,0.5957101583480835
mathematics education,geometry teaching,20,20,0.6844418048858643
mathematics education,gifted education,23,23,0.5166876316070557
mathematics education,gifted students,60,60,0.48407429456710815
mathematics education,high school,96,96,0.40131282806396484
mathematics education,higher education,384,384,0.4930097758769989
mathematics education,history of mathematics,100,100,0.8330777883529663
mathematics education,inclusive education,100,100,0.41037970781326294
mathematics education,instructional design,84,84,0.5840205550193787
mathematics education,instructional practice,20,20,0.563143253326416
mathematics education,instructional practices,63,63,0.5673623085021973
mathematics education,instructional quality,44,44,0.5990103483200073
mathematics education,instructional strategies,21,21,0.5782357454299927
mathematics education,integral calculus,30,30,0.5334607362747192
mathematics education,intelligent tutoring system,37,37,0.4973066747188568
mathematics education,intelligent tutoring systems,39,39,0.5040104389190674
mathematics education,interactive learning,45,45,0.4772253632545471
mathematics education,k-12 education,20,20,0.5045756101608276
mathematics education,kindergarten,33,33,0.4747571349143982
mathematics education,learning,83,83,0.5430068969726562
mathematics education,learning achievement,39,39,0.46859365701675415
mathematics education,learning difficulties,33,33,0.4663953185081482
mathematics education,learning environment,40,40,0.4552414119243622
mathematics education,learning environments,31,31,0.45346367359161377
mathematics education,learning mathematics,29,29,0.9388753175735474
mathematics education,learning models,24,24,0.4663166105747223
mathematics education,learning outcomes,123,123,0.4415534436702728
mathematics education,learning process,73,73,0.4655112624168396
mathematics education,learning strategies,35,35,0.47022074460983276
mathematics education,learning style,24,24,0.4836956262588501
mathematics education,learning styles,30,30,0.474396288394928
mathematics education,learning theory,20,20,0.5449917316436768
mathematics education,lesson planning,26,26,0.5221036672592163
mathematics education,lesson study,156,156,0.5814766883850098
mathematics education,linear algebra,87,87,0.5340489149093628
mathematics education,literacy,41,41,0.4838557243347168
mathematics education,math achievement,24,24,0.7351313829421997
mathematics education,math anxiety,60,60,0.6057685017585754
mathematics education,math skills,26,26,0.8085280060768127
mathematics education,mathematical abilities,25,25,0.7247433066368103
mathematics education,mathematical ability,39,39,0.7164058685302734
mathematics education,mathematical achievement,37,37,0.6991305351257324
mathematics education,mathematical activity,23,23,0.6967043876647949
mathematics education,mathematical argumentation,20,20,0.5214765071868896
mathematics education,mathematical beliefs,20,20,0.6913036704063416
mathematics education,mathematical cognition,24,24,0.7195970416069031
mathematics education,mathematical communication,43,43,0.6669133305549622
mathematics education,mathematical competence,57,57,0.741857647895813
mathematics education,mathematical competencies,38,38,0.7074179649353027
mathematics education,mathematical concepts,158,158,0.7427105903625488
mathematics education,mathematical connections,26,26,0.5716819763183594
mathematics education,mathematical content,25,25,0.6629848480224609
mathematics education,mathematical creativity,59,59,0.6669997572898865
mathematics education,mathematical development,28,28,0.7716542482376099
mathematics education,mathematical discourse,31,31,0.6989872455596924
mathematics education,mathematical education,37,37,0.968274712562561
mathematics education,mathematical identity,20,20,0.6166712641716003
mathematics education,mathematical knowledge,284,284,0.7713057398796082
mathematics education,mathematical learning,78,78,0.8616490960121155
mathematics education,mathematical literacy,124,124,0.826865553855896
mathematics education,mathematical modeling,175,175,0.5592347979545593
mathematics education,mathematical modelling,186,186,0.5391930937767029
mathematics education,mathematical models,33,33,0.5328910946846008
mathematics education,mathematical objects,25,25,0.6472775936126709
mathematics education,mathematical performance,28,28,0.6060705780982971
mathematics education,mathematical practice,38,38,0.8313145041465759
mathematics education,mathematical practices,33,33,0.790312647819519
mathematics education,mathematical problem-solving,24,24,0.5037744641304016
mathematics education,mathematical problems,56,56,0.5856835842132568
mathematics education,mathematical proficiency,31,31,0.7775529026985168
mathematics education,mathematical proof,45,45,0.5213544368743896
mathematics education,mathematical reasoning,149,149,0.6154171228408813
mathematics education,mathematical sciences,20,20,0.8010343313217163
mathematics education,mathematical skills,60,60,0.7989706993103027
mathematics education,mathematical tasks,27,27,0.6366554498672485
mathematics education,mathematical techniques,57,57,0.6657382249832153
mathematics education,mathematical thinking,217,217,0.7045973539352417
mathematics education,mathematical understanding,63,63,0.7573180198669434
mathematics education,mathematicians,35,35,0.7683019042015076
mathematics education,mathematics achievement,131,131,0.8418475389480591
mathematics education,mathematics anxiety,70,70,0.7372952699661255
mathematics education,mathematics attitudes,21,21,0.8184519410133362
mathematics education,mathematics classroom,29,29,0.9370625019073486
mathematics education,mathematics classrooms,23,23,0.9356215596199036
mathematics education,mathematics curriculum,59,59,0.9686404466629028
mathematics education,mathematics education research,61,61,0.9669232368469238
mathematics education,mathematics instruction,36,36,0.9293678998947144
mathematics education,mathematics learning,152,152,0.9403265714645386
mathematics education,mathematics performance,37,37,0.7722052931785583
mathematics education,mathematics reform,21,21,0.8214811086654663
mathematics education,mathematics research,26,26,0.8851410150527954
mathematics education,mathematics teacher,110,110,0.9164825081825256
mathematics education,mathematics teacher education,27,27,0.9427882432937622
mathematics education,mathematics teachers,145,145,0.9213584065437317
mathematics education,mathematics teaching,178,178,0.9602140784263611
mathematics education,mathematization,26,26,0.8589142560958862
mathematics education,middle school,109,109,0.46983277797698975
mathematics education,middle school students,66,66,0.4122818410396576
mathematics education,middle school teachers,20,20,0.47424936294555664
mathematics education,multiplication,26,26,0.5682386755943298
mathematics education,novice teachers,30,30,0.5511227250099182
mathematics education,numeracy,91,91,0.49807438254356384
mathematics education,numeracy skills,22,22,0.4997180700302124
mathematics education,numerical cognition,21,21,0.5369405746459961
mathematics education,numerical methods,20,20,0.4609295427799225
mathematics education,online education,31,31,0.4575202465057373
mathematics education,online teaching,44,44,0.4844248592853546
mathematics education,pedagogical approach,20,20,0.4322327673435211
mathematics education,pedagogical knowledge,80,80,0.47679799795150757
mathematics education,pedagogical practices,40,40,0.40728700160980225
mathematics education,pedagogical strategies,21,21,0.44300299882888794
mathematics education,pedagogy,275,275,0.5554909706115723
mathematics education,philosophy,32,32,0.42892736196517944
mathematics education,philosophy of mathematics,30,30,0.7983781695365906
mathematics education,physical education,23,23,0.40782421827316284
mathematics education,physics education,66,66,0.6045929193496704
mathematics education,preschool teachers,22,22,0.457916259765625
mathematics education,preservice teacher education,30,30,0.41141703724861145
mathematics education,preservice teachers,294,294,0.4240071177482605
mathematics education,primary education,267,267,0.504440188407898
mathematics education,primary school,205,205,0.45259469747543335
mathematics education,primary school students,54,54,0.4152507185935974
mathematics education,primary school teachers,57,57,0.45596960186958313
mathematics education,primary schools,61,61,0.44127461314201355
mathematics education,primary students,20,20,0.4805542826652527
mathematics education,primary teachers,54,54,0.4711322784423828
mathematics education,programming,42,42,0.4317420423030853
mathematics education,prospective teachers,209,209,0.5052138566970825
mathematics education,quality education,22,22,0.4733832776546478
mathematics education,quantitative literacy,27,27,0.5657188296318054
mathematics education,rational numbers,32,32,0.4187920093536377
mathematics education,reading comprehension,23,23,0.48859721422195435
mathematics education,realistic mathematics,21,21,0.7621968984603882
mathematics education,realistic mathematics education,141,141,0.9270967245101929
mathematics education,rural education,29,29,0.43022000789642334
mathematics education,school mathematics,52,52,0.9151106476783752
mathematics education,school performance,27,27,0.43950361013412476
mathematics education,science education,722,722,0.5830686092376709
mathematics education,science teaching,26,26,0.5783833265304565
mathematics education,secondary education,223,223,0.5806114673614502
mathematics education,secondary mathematics,43,43,0.7510057687759399
mathematics education,secondary school,125,125,0.5421483516693115
mathematics education,secondary school students,52,52,0.4746934473514557
mathematics education,secondary schools,71,71,0.5384067296981812
mathematics education,secondary students,24,24,0.5275900363922119
mathematics education,secondary teachers,26,26,0.5410370230674744
mathematics education,situated learning,29,29,0.4562121033668518
mathematics education,special education,140,140,0.5094348192214966
mathematics education,statistical literacy,33,33,0.47056686878204346
mathematics education,statistics education,64,64,0.544679582118988
mathematics education,stem education,415,415,0.46689993143081665
mathematics education,student achievement,261,261,0.4962904453277588
mathematics education,student assessment,20,20,0.43578964471817017
mathematics education,student attitudes,57,57,0.40845727920532227
mathematics education,student engagement,165,165,0.42983436584472656
mathematics education,student learning,210,210,0.5525491237640381
mathematics education,student learning outcomes,27,27,0.4677857756614685
mathematics education,student motivation,104,104,0.41203320026397705
mathematics education,student outcomes,47,47,0.4425831437110901
mathematics education,student participation,32,32,0.43353861570358276
mathematics education,student perception,21,21,0.40876615047454834
mathematics education,student perceptions,42,42,0.41955098509788513
mathematics education,student performance,207,207,0.41971370577812195
mathematics education,student success,43,43,0.45469897985458374
mathematics education,student teachers,63,63,0.5580947399139404
mathematics education,student thinking,34,34,0.4983765482902527
mathematics education,student understanding,29,29,0.5597829818725586
mathematics education,students,135,135,0.5554444789886475
mathematics education,teacher attitudes,37,37,0.4422745108604431
mathematics education,teacher beliefs,143,143,0.49597227573394775
mathematics education,teacher candidates,53,53,0.4425731897354126
mathematics education,teacher collaboration,39,39,0.46137094497680664
mathematics education,teacher competence,46,46,0.5103310346603394
mathematics education,teacher development,190,190,0.526199221611023
mathematics education,teacher education,1425,1425,0.5663008093833923
mathematics education,teacher educator,25,25,0.5460416674613953
mathematics education,teacher educators,125,125,0.5270593166351318
mathematics education,teacher effectiveness,25,25,0.4690508544445038
mathematics education,teacher efficacy,21,21,0.4992138147354126
mathematics education,teacher identity,56,56,0.45360827445983887
mathematics education,teacher knowledge,232,232,0.5611498355865479
mathematics education,teacher learning,138,138,0.5577206611633301
mathematics education,teacher noticing,85,85,0.4557168483734131
mathematics education,teacher perceptions,35,35,0.4526844024658203
mathematics education,teacher perspectives,20,20,0.5120523571968079
mathematics education,teacher practice,30,30,0.5146976113319397
mathematics education,teacher practices,41,41,0.5245492458343506
mathematics education,teacher preparation,223,223,0.547660231590271
mathematics education,teacher professional development,155,155,0.4543877840042114
mathematics education,teacher quality,37,37,0.47922712564468384
mathematics education,teacher reflection,23,23,0.4157659411430359
mathematics education,teacher role,30,30,0.47327518463134766
mathematics education,teacher self-efficacy,21,21,0.41537314653396606
mathematics education,teacher support,31,31,0.4416126012802124
mathematics education,teacher training,589,589,0.502047061920166
mathematics education,teachers,68,68,0.5727463364601135
mathematics education,teachers beliefs,22,22,0.4610331952571869
mathematics education,teaching,79,79,0.6078442335128784
mathematics education,teaching and learning,72,72,0.5160402059555054
mathematics education,teaching approaches,20,20,0.5469803810119629
mathematics education,teaching learning,51,51,0.5760137438774109
mathematics education,teaching materials,33,33,0.5742959976196289
mathematics education,teaching method,22,22,0.5828410387039185
mathematics education,teaching methods,289,289,0.5824136734008789
mathematics education,teaching practice,100,100,0.4934335947036743
mathematics education,teaching practices,113,113,0.5138705968856812
mathematics education,teaching quality,45,45,0.5197159647941589
mathematics education,teaching strategies,67,67,0.546104371547699
mathematics education,technical universities,21,21,0.4544146955013275
mathematics education,technology education,56,56,0.4927915334701538
mathematics education,technology enhanced learning,23,23,0.455116331577301
mathematics education,technology-enhanced learning,26,26,0.4291977882385254
mathematics education,tertiary education,35,35,0.5035348534584045
mathematics education,textbook analysis,31,31,0.5204523801803589
mathematics education,textbooks,60,60,0.5727414488792419
mathematics education,undergraduate,22,22,0.51520836353302
mathematics education,undergraduate education,30,30,0.5349701642990112
mathematics education,undergraduate mathematics,27,27,0.9030027389526367
mathematics education,undergraduate students,172,172,0.46173781156539917
mathematics education,understanding,25,25,0.438834011554718
