EID_clean,crs_status,crs_community,crs_mapped_keywords,crs_total_keywords,lda_topic_k5,lda_probability_k5,lda_topic_k10,lda_probability_k10,lda_topic_k15,lda_probability_k15,lda_topic_k20,lda_probability_k20,lda_topic_k30,lda_probability_k30,lda_topic_k40,lda_probability_k40,lda_topic_k50,lda_probability_k50
2-s2.0-84898192336,assigned,0.0,3,5,0,0.5317444935947202,7,0.28475515268733753,11,0.3835880550925371,18,0.4592027220131297,18,0.33730013883686794,19,0.20567051384297788,35,0.35287522929129
2-s2.0-84898017977,assigned,0.0,1,5,4,0.49423526055945166,4,0.4345558521468129,4,0.39204567499591997,0,0.23420059642042282,12,0.2523621231489803,9,0.23204162017787075,25,0.2535854477896379
2-s2.0-84897548655,assigned,0.0,1,5,2,0.3979245149765025,6,0.4459478453008132,8,0.32989884475023806,6,0.26978085754055375,16,0.1808852538849676,6,0.12583314109384436,23,0.3474138106815146
2-s2.0-84897547521,assigned,0.0,3,5,2,0.8992975213752225,6,0.7892121017823438,6,0.7616886277960643,6,0.7581851517203574,6,0.5704017589677639,23,0.2832139951871796,49,0.2899651609066776
2-s2.0-84897491887,ambiguous,,2,5,2,0.5387039681825107,7,0.531132997775911,6,0.3920849217312581,7,0.388310976027784,7,0.34301257177971595,35,0.18576453446535493,7,0.20409114235598064
2-s2.0-84897422049,assigned,0.0,3,5,1,0.9390337511498316,1,0.7538712749599362,1,0.4377497060679681,1,0.4354158495812892,22,0.28522295736170916,22,0.4175148220794269,10,0.22144407509189926
2-s2.0-84897048083,assigned,1.0,3,5,4,0.680351669822561,4,0.5882790785043905,4,0.5344779538964078,19,0.343307926271971,20,0.3955156659113128,36,0.3813209705893609,25,0.3121449579064972
2-s2.0-84897013602,assigned,1.0,4,5,3,0.6586687105748678,3,0.35917783093300354,7,0.43626876584370694,7,0.48792449667864923,25,0.35659625258856215,7,0.3102427915087474,7,0.2622810104315861
2-s2.0-84896984976,assigned,1.0,2,5,0,0.4900455860434137,0,0.5078981370343224,12,0.3561878021266791,12,0.35320202293721836,12,0.2995942280020123,12,0.3033489803916847,12,0.2916792775747473
2-s2.0-84896972424,ambiguous,,2,5,0,0.32867294778666833,3,0.2519042659863214,9,0.2918928850609309,4,0.19946780059450725,16,0.3008608972109445,4,0.17593121728241717,23,0.21603645492339676
2-s2.0-84896964690,assigned,0.0,3,5,0,0.8050822364330319,0,0.6214258206145803,0,0.3967777572101713,0,0.4543450472079773,24,0.3358795664492056,24,0.2905017517378553,17,0.4149998880300319
2-s2.0-84896931062,assigned,0.0,3,5,0,0.8473569650647195,9,0.39434136487872357,13,0.4655592247674409,15,0.5347920641083507,24,0.5079101042745218,24,0.47809643337917923,24,0.5236256488501112
2-s2.0-84896905419,assigned,0.0,3,5,2,0.6131839602104018,6,0.6473820521958656,6,0.41959540925266675,19,0.3510305772039123,19,0.2717542372039503,32,0.2891214617300869,49,0.24015584911311444
2-s2.0-84896902639,assigned,2.0,3,5,3,0.5083500047115073,3,0.41242887168159903,7,0.4781718469878981,7,0.4779746194022046,7,0.3762069750712254,7,0.38431624841022743,7,0.30892073176875046
2-s2.0-84896641993,assigned,0.0,2,5,2,0.562233601964719,7,0.6504520556364062,11,0.47561501539511447,11,0.624932895529619,11,0.4416745507534033,11,0.2884672999407091,37,0.45297979540803424
2-s2.0-84896563961,assigned,0.0,1,5,2,0.7192992880327369,6,0.4437958386113037,11,0.3627969421093728,19,0.354491168829238,11,0.2831024560428108,19,0.30355704166373465,23,0.2232174808695253
2-s2.0-84896539583,assigned,4.0,1,5,0,0.8644420291050592,0,0.29099472299469853,11,0.27868304014229683,11,0.2166224718590165,24,0.2928630394457793,24,0.29835277038680846,24,0.27808245513025115
2-s2.0-84896482026,ambiguous,,5,5,0,0.7903855197779924,7,0.622823162350059,11,0.6880163974208556,11,0.6678288043020889,11,0.507795569613444,11,0.43845643279665225,37,0.23947385384664385
2-s2.0-84896469686,assigned,0.0,1,5,0,0.954237258397786,6,0.3557510611499982,13,0.5374091407040715,15,0.5987919729893191,24,0.6608580378461967,24,0.6821475705886505,24,0.6981573230769683
2-s2.0-84896469421,assigned,0.0,2,5,0,0.7659147273793887,9,0.6897721766829581,13,0.6887170019336752,13,0.6103228519782808,13,0.5049016697816573,31,0.5057581416008456,31,0.4309064905578615
2-s2.0-84896467040,assigned,0.0,3,5,0,0.569481905749696,7,0.43071560950266086,11,0.40808020043283705,11,0.35767444185600183,10,0.27343778066410435,10,0.274326121738674,35,0.27764776680887765
2-s2.0-84896459626,assigned,0.0,2,5,1,0.3553922585507063,1,0.39391325591394283,1,0.3929625241905885,17,0.33056937505214146,20,0.3844242192376911,20,0.43739235681786826,20,0.38518008833101836
2-s2.0-84896450390,ambiguous,,2,5,2,0.6585675496901492,6,0.34890794996324304,6,0.34341245447710267,2,0.30455654753395883,23,0.37062967952013787,34,0.26252927172058443,34,0.27095694183106417
2-s2.0-84896448625,assigned,0.0,2,5,0,0.44999235509854807,7,0.28956065741606535,11,0.21756563095987044,2,0.22615541220227722,23,0.17795869546224963,35,0.23324615732788853,35,0.16287293388262863
2-s2.0-84896446275,ambiguous,,2,5,2,0.4900861996088344,7,0.4011838095993339,11,0.5138495743129686,17,0.18700789241165935,16,0.22298945302843323,11,0.12179187908896452,23,0.21429877493320154
2-s2.0-84896361279,assigned,0.0,2,5,4,0.8333070273518681,4,0.7399511325764636,4,0.44935285582804163,19,0.7883488839025893,19,0.49630739865131823,19,0.5726724995923038,19,0.5529181578017612
