K,topic,npmi,top_words
50,39,0.16280443075798237,"['number', 'tasks', 'textbooks', 'arithmetic', 'task', 'numbers', 'et', 'al', 'numerical', 'et al']"
50,40,0.07828949142449161,"['language', 'english', 'education', 'arts', 'music', 'vocational', 'gifted', 'indigenous', 'students', 'art']"
50,41,0.26909962425119804,"['ai', 'intelligence', 'artificial', 'tutoring', 'artificial intelligence', 'adaptive', 'education', 'learning', 'intelligent', 'conference']"
50,42,0.13947081264673175,"['program', 'students', 'stem', 'research', 'programs', 'faculty', 'engineering', 'science', 'community', 'student']"
50,43,0.07861136914917928,"['achievement', 'countries', 'international', 'student', 'education', 'educational', 'quality', 'science', 'data', 'policy']"
50,44,0.2817541566121183,"['gender', 'stem', 'women', 'female', 'career', 'engineering', 'science', 'girls', 'fields', 'technology']"
50,45,0.11808699854471368,"['secondary', 'teachers', 'school', 'study', 'schools', 'secondary school', 'education', 'teaching', 'level', 'secondary education']"
50,46,0.10560502279625214,"['primary', 'school', 'education', 'primary school', 'study', 'pupils', 'schools', 'year', 'years', 'level']"
50,47,0.21747946535843166,"['teachers', 'service', 'pre', 'pre service', 'service teachers', 'mathematics teachers', 'study', 'teaching', 'education', 'knowledge']"
50,48,0.2829460092268926,"['children', 'early', 'childhood', 'numeracy', 'early childhood', 'parents', 'preschool', 'child', 'young', 'development']"
50,49,0.1823849799146189,"['teachers', 'teacher', 'teaching', 'knowledge', 'teacher education', 'education', 'prospective', 'study', 'mathematics teacher', 'mathematics teachers']"
