crs_community,lda_topic_k50,n_documents,proportion_within_crs_community
2,18,11,0.0011754648429151528
2,19,252,0.0269288309467835
2,20,157,0.01677708912160718
2,21,682,0.07287882026073947
2,22,3,0.0003205813207950417
2,23,124,0.013250694592861722
2,24,36,0.0038469758495405003
2,25,551,0.05888010258602266
2,26,41,0.004381278050865569
2,27,50,0.005343022013250694
2,28,146,0.015601624278692027
2,29,16,0.0017097670442402222
2,30,59,0.00630476597563582
2,31,209,0.022333832015387904
2,32,108,0.0115409275486215
2,33,82,0.008762556101731139
2,34,100,0.010686044026501388
2,35,129,0.013784996794186792
2,36,55,0.005877324214575764
2,37,510,0.05449882453515709
2,38,26,0.002778371446890361
2,39,7,0.0007480230818550972
2,40,21,0.0022440692455652916
2,41,45,0.004808719811925625
2,42,1663,0.1777089121607181
2,43,62,0.006625347296430861
2,44,790,0.08441974780936097
2,45,53,0.005663603334045736
2,46,27,0.002885231887155375
2,47,56,0.005984184654840778
2,48,98,0.010472323145971362
2,49,42,0.004488138491130583
3,1,5,0.15151515151515152
3,3,1,0.030303030303030304
3,7,1,0.030303030303030304
3,15,16,0.48484848484848486
3,25,1,0.030303030303030304
3,28,2,0.06060606060606061
3,29,1,0.030303030303030304
3,31,1,0.030303030303030304
3,33,1,0.030303030303030304
3,35,1,0.030303030303030304
3,37,2,0.06060606060606061
3,39,1,0.030303030303030304
4,0,39,0.037463976945244955
4,1,12,0.011527377521613832
4,2,3,0.002881844380403458
4,3,33,0.03170028818443804
4,4,84,0.08069164265129683
4,7,51,0.04899135446685879
4,8,3,0.002881844380403458
4,9,28,0.026897214217098942
4,10,30,0.02881844380403458
4,11,9,0.008645533141210375
4,12,359,0.3448607108549472
4,14,29,0.027857829010566763
4,15,1,0.0009606147934678194
4,16,4,0.0038424591738712775
4,17,2,0.0019212295869356388
4,18,2,0.0019212295869356388
4,19,25,0.024015369836695485
4,20,20,0.01921229586935639
4,21,10,0.009606147934678195
4,22,1,0.0009606147934678194
4,23,1,0.0009606147934678194
4,24,21,0.020172910662824207
4,25,27,0.025936599423631124
4,27,6,0.005763688760806916
4,28,8,0.007684918347742555
4,29,2,0.0019212295869356388
4,30,11,0.010566762728146013
4,31,5,0.004803073967339097
4,32,10,0.009606147934678195
4,33,3,0.002881844380403458
4,35,24,0.023054755043227664
4,36,11,0.010566762728146013
4,37,36,0.0345821325648415
4,38,4,0.0038424591738712775
4,39,3,0.002881844380403458
4,40,1,0.0009606147934678194
4,41,72,0.069164265129683
4,42,17,0.01633045148895293
4,43,3,0.002881844380403458
4,44,12,0.011527377521613832
4,45,3,0.002881844380403458
4,46,4,0.0038424591738712775
4,47,4,0.0038424591738712775
4,48,8,0.007684918347742555
5,1,2,0.03508771929824561
5,4,1,0.017543859649122806
5,7,25,0.43859649122807015
5,11,1,0.017543859649122806
5,12,1,0.017543859649122806
5,14,3,0.05263157894736842
5,16,1,0.017543859649122806
5,25,4,0.07017543859649122
5,26,1,0.017543859649122806
5,27,1,0.017543859649122806
5,30,1,0.017543859649122806
5,31,1,0.017543859649122806
5,35,6,0.10526315789473684
5,37,5,0.08771929824561403
5,41,2,0.03508771929824561
5,47,1,0.017543859649122806
5,49,1,0.017543859649122806
6,2,1,0.02702702702702703
6,7,2,0.05405405405405406
6,14,1,0.02702702702702703
6,15,1,0.02702702702702703
6,16,2,0.05405405405405406
6,19,10,0.2702702702702703
6,21,2,0.05405405405405406
6,23,3,0.08108108108108109
6,25,1,0.02702702702702703
6,32,1,0.02702702702702703
6,42,3,0.08108108108108109
6,43,2,0.05405405405405406
6,44,7,0.1891891891891892
6,49,1,0.02702702702702703
