doc,n_8b,n_70b,soft_recall,soft_precision,soft_f1,soft_mean_max,jaccard_lex,global_sem_sim,identical_set
257,5,5,1.0,1.0,1.0,0.9122201800346375,0.42857142857142855,0.9562535881996155,0.0
258,5,5,0.2,0.2,0.20000000000000004,0.5257138609886169,0.0,0.7458111047744751,0.0
259,5,5,0.8,1.0,0.888888888888889,0.9307539463043213,0.6666666666666666,0.9728841781616211,0.0
260,5,5,0.8,0.8,0.8000000000000002,0.8313365578651428,0.42857142857142855,0.9288966059684753,0.0
261,5,5,0.8,0.8,0.8000000000000002,0.8330358266830444,0.42857142857142855,0.8891923427581787,0.0
262,5,5,0.8,0.8,0.8000000000000002,0.7600464224815369,0.0,0.8500754237174988,0.0
263,5,5,0.8,0.8,0.8000000000000002,0.8190166354179382,0.25,0.878032922744751,0.0
264,5,5,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0
265,5,5,0.8,0.8,0.8000000000000002,0.9163553714752197,0.6666666666666666,0.9516280889511108,0.0
266,5,5,0.4,0.4,0.4000000000000001,0.6601532101631165,0.0,0.812506377696991,0.0
267,5,5,0.8,0.8,0.8000000000000002,0.8540215492248535,0.25,0.9650307893753052,0.0
268,5,5,1.0,1.0,1.0,1.0,1.0,0.9897509813308716,1.0
269,5,5,0.8,0.8,0.8000000000000002,0.8299806118011475,0.42857142857142855,0.9157359004020691,0.0
270,5,5,0.8,1.0,0.888888888888889,0.8734650611877441,0.42857142857142855,0.9383488893508911,0.0
271,5,5,0.2,0.2,0.20000000000000004,0.5614503622055054,0.1111111111111111,0.7455428242683411,0.0
272,5,5,0.8,1.0,0.888888888888889,0.8395968675613403,0.25,0.8757337331771851,0.0
273,5,5,0.8,0.8,0.8000000000000002,0.8407999277114868,0.25,0.9140791296958923,0.0
274,5,5,0.6,0.6,0.6,0.7843565940856934,0.42857142857142855,0.8958853483200073,0.0
275,5,5,0.4,0.4,0.4000000000000001,0.5796247720718384,0.1111111111111111,0.5618702173233032,0.0
276,5,5,0.6,0.8,0.6857142857142857,0.7998318672180176,0.42857142857142855,0.8993672132492065,0.0
277,5,5,0.8,0.6,0.6857142857142857,0.7481437921524048,0.25,0.7406348586082458,0.0
278,5,5,0.8,0.8,0.8000000000000002,0.923048734664917,0.6666666666666666,0.9618208408355713,0.0
279,5,5,0.8,0.8,0.8000000000000002,0.851249098777771,0.42857142857142855,0.886104941368103,0.0
280,5,5,0.6,0.6,0.6,0.7182441353797913,0.0,0.7550978660583496,0.0
281,5,5,0.8,0.8,0.8000000000000002,0.9332305788993835,0.6666666666666666,0.9802968502044678,0.0
282,5,5,1.0,0.8,0.888888888888889,0.9649837017059326,0.6666666666666666,0.9514145255088806,0.0
