doc,n_8b,n_70b,soft_recall,soft_precision,soft_f1,soft_mean_max,jaccard_lex,global_sem_sim,identical_set
69,5,5,0.8,0.8,0.8000000000000002,0.8581690788269043,0.25,0.9239733219146729,0.0
70,5,5,0.6,0.6,0.6,0.6864477396011353,0.0,0.9048202633857727,0.0
71,5,5,0.8,0.8,0.8000000000000002,0.8841255307197571,0.42857142857142855,0.9322245717048645,0.0
72,5,5,0.8,0.6,0.6857142857142857,0.8200801610946655,0.25,0.8943553566932678,0.0
73,5,5,0.8,1.0,0.888888888888889,0.937615156173706,0.42857142857142855,0.978729248046875,0.0
74,5,5,1.0,1.0,1.0,0.9814016222953796,0.6666666666666666,0.9642395377159119,0.0
75,5,5,0.6,0.6,0.6,0.787284791469574,0.42857142857142855,0.8157687187194824,0.0
76,5,5,0.6,0.6,0.6,0.7695407867431641,0.1111111111111111,0.882635772228241,0.0
77,5,5,1.0,0.8,0.888888888888889,0.9513751268386841,0.6666666666666666,0.9671162962913513,0.0
78,5,5,0.8,0.8,0.8000000000000002,0.8407131433486938,0.25,0.9719262719154358,0.0
79,5,5,1.0,0.8,0.888888888888889,0.8794277310371399,0.42857142857142855,0.9413979649543762,0.0
80,5,5,0.8,1.0,0.888888888888889,0.9218358993530273,0.42857142857142855,0.9735880494117737,0.0
81,5,5,0.8,0.8,0.8000000000000002,0.863984227180481,0.25,0.9179365634918213,0.0
82,5,5,0.8,0.8,0.8000000000000002,0.8584362864494324,0.42857142857142855,0.9315841794013977,0.0
83,5,5,0.8,0.8,0.8000000000000002,0.9235766530036926,0.6666666666666666,0.9771626591682434,0.0
84,5,5,0.4,0.8,0.5333333333333333,0.7179142236709595,0.1111111111111111,0.8542548418045044,0.0
85,5,5,0.8,0.8,0.8000000000000002,0.9152066707611084,0.6666666666666666,0.9778553247451782,0.0
86,5,5,0.6,0.6,0.6,0.8000242710113525,0.25,0.9258329272270203,0.0
87,5,5,1.0,1.0,1.0,0.9793053269386292,0.6666666666666666,0.9864863753318787,0.0
88,5,5,0.6,0.6,0.6,0.7881554365158081,0.25,0.9009586572647095,0.0
89,5,5,0.6,0.8,0.6857142857142857,0.7462034225463867,0.1111111111111111,0.8212963342666626,0.0
90,5,5,0.6,0.6,0.6,0.8084609508514404,0.42857142857142855,0.935722291469574,0.0
91,5,5,0.6,0.6,0.6,0.7675004005432129,0.25,0.9216932058334351,0.0
92,5,5,0.8,1.0,0.888888888888889,0.9210423827171326,0.6666666666666666,0.9394512176513672,0.0
